bhsa_node,mother_clause,mother_cl_atom,mother_clause_atom,mother_rela,mother_domain2,mother_verbtype,mother_type,mother_verb_ps,mother_verb_lex,mother_verbplain,daught_clause,daught_cl_atom,daught_clause_atom,daught_rela,daught_domain2,daught_verbtype,daught_type,daught_verb_ps,daught_verb_lex,daught_verbplain
69311,וְחִשַּׁב־לֹ֨ו הַכֹּהֵ֜ן אֶת־הַכֶּ֗סֶף עַל־פִּ֤י הַשָּׁנִים֙ ,529442,וְחִשַּׁב־לֹ֨ו הַכֹּהֵ֜ן אֶת־הַכֶּ֗סֶף עַל־פִּ֤י הַשָּׁנִים֙ ,Main,Q,wqtl,WQtX,p3,XCB[,חשׁב,,,,,,,,,,
69325,וְאִם־גָּאֹ֤ל יִגְאַל֙ אֶת־הַשָּׂדֶ֔ה ,529445,וְאִם־גָּאֹ֤ל יִגְאַל֙ אֶת־הַשָּׂדֶ֔ה ,SubAdv,Q,yqtl,WxY0,p3,G>L[,יגאל,וְקָ֥ם לֹֽו׃ ,529448,וְקָ֥ם לֹֽו׃ ,Main,Q,wqtl,WQt0,p3,QWM[,קם
69331,וְ֠יָסַף חֲמִשִׁ֧ית כֶּֽסֶף־עֶרְכְּךָ֛ עָלָ֖יו ,529447,וְ֠יָסַף חֲמִשִׁ֧ית כֶּֽסֶף־עֶרְכְּךָ֛ עָלָ֖יו ,Main,Q,wqtl,WQt0,p3,JSP[,יסף,,,,,,,,,,
69353,וְאִ֣ם׀ מִשְּׂדֵ֣ה אֲחֻזָּתֹ֗ו יַקְדִּ֥ישׁ אִישׁ֙ לַֽיהוָ֔ה ,529437,וְאִ֣ם׀ מִשְּׂדֵ֣ה אֲחֻזָּתֹ֗ו יַקְדִּ֥ישׁ אִישׁ֙ לַֽיהוָ֔ה ,SubAdv,Q,yqtl,WxYX,p3,QDC[,יקדישׁ,בְּצֵאתֹ֣ו בַיֹּבֵ֗ל ,529453,בְּצֵאתֹ֣ו בַיֹּבֵ֗ל ,SubAdv,Q,infc,InfC,unknown,JY>[,צאתו
69387,וְאִם֙ אֶת־שְׂדֵ֣ה מִקְנָתֹ֔ו יַקְדִּ֖ישׁ לַֽיהוָֽה׃ ,529456,וְאִם֙ אֶת־שְׂדֵ֣ה מִקְנָתֹ֔ו ,SubAdv,Q,Ø,Defc,,,,וְנָתַ֤ן אֶת־הָעֶרְכְּךָ֙ בַּיֹּ֣ום הַה֔וּא ,529460,וְנָתַ֤ן אֶת־הָעֶרְכְּךָ֙ בַּיֹּ֣ום הַה֔וּא ,Main,Q,wqtl,WQt0,p3,NTN[,נתן
69400,וְחִשַּׁב־לֹ֣ו הַכֹּהֵ֗ן אֵ֚ת מִכְסַ֣ת הָֽעֶרְכְּךָ֔ עַ֖ד שְׁנַ֣ת הַיֹּבֵ֑ל ,529459,וְחִשַּׁב־לֹ֣ו הַכֹּהֵ֗ן אֵ֚ת מִכְסַ֣ת הָֽעֶרְכְּךָ֔ עַ֖ד שְׁנַ֣ת הַיֹּבֵ֑ל ,Main,Q,wqtl,WQtX,p3,XCB[,חשׁב,קֹ֖דֶשׁ לַיהוָֽה׃ ,529461,קֹ֖דֶשׁ לַיהוָֽה׃ ,Main,Q,Ø,NmCl,,,
69470,וְאִ֨ם בַּבְּהֵמָ֤ה הַטְּמֵאָה֙ ,529474,וְאִ֨ם בַּבְּהֵמָ֤ה הַטְּמֵאָה֙ ,SubAdv,Q,Ø,NmCl,,,,וְיָסַ֥ף חֲמִשִׁתֹ֖ו עָלָ֑יו ,529476,וְיָסַ֥ף חֲמִשִׁתֹ֖ו עָלָ֑יו ,Main,Q,wqtl,WQt0,p3,JSP[,יסף
69474,וּפָדָ֣ה בְעֶרְכֶּ֔ךָ ,529475,וּפָדָ֣ה בְעֶרְכֶּ֔ךָ ,Main,Q,wqtl,WQt0,p3,PDH[,פדה,,,,,,,,,,
69482,וְאִם־לֹ֥א יִגָּאֵ֖ל ,529477,וְאִם־לֹ֥א יִגָּאֵ֖ל ,SubAdv,Q,yqtl,WxY0,p3,G>L[,יגאל,,,,,,,,,,
69589,וְאִם־הָמֵ֣ר יְמִירֶ֔נּוּ ,529501,וְאִם־הָמֵ֣ר יְמִירֶ֔נּוּ ,SubAdv,Q,yqtl,WxY0,p3,MWR[,ימירנו,ה֧וּא וּתְמוּרָתֹ֛ו יִֽהְיֶה־קֹ֖דֶשׁ ,529503,ה֧וּא וּתְמוּרָתֹ֛ו יִֽהְיֶה־קֹ֖דֶשׁ ,Main,Q,yqtl,XYqt,p3,HJH[,יהיה
70377,אַ֣ךְ אֶת־מַטֵּ֤ה לֵוִי֙ לֹ֣א תִפְקֹ֔ד ,529585,אַ֣ךְ אֶת־מַטֵּ֤ה לֵוִי֙ לֹ֣א תִפְקֹ֔ד ,Main,Q,yqtl,xYq0,p2,PQD[,תפקד,אִ֧ישׁ עַֽל־מַחֲנֵ֛הוּ ,529602,אִ֧ישׁ עַֽל־מַחֲנֵ֛הוּ ,SubAdv,Q,Ø,Ellp,,,
70407,וְחָנ֖וּ בְּנֵ֣י יִשְׂרָאֵ֑ל לְצִבְאֹתָֽם׃ ,529601,וְחָנ֖וּ בְּנֵ֣י יִשְׂרָאֵ֑ל ,Main,Q,wqtl,WQtX,p3,XNH[,חנו,,,,,,,,,,
70650,וּשְׁנִיִּ֖ם יִסָּֽעוּ׃ ס ,529643,וּשְׁנִיִּ֖ם יִסָּֽעוּ׃ ס ,Main,Q,yqtl,WxY0,p3,NS<[,יסעו,כֵּ֣ן יִסָּ֔עוּ ,529646,כֵּ֣ן יִסָּ֔עוּ ,Main,Q,yqtl,xYq0,p3,NS<[,יסעו
70997,הַקְרֵב֙ אֶת־מַטֵּ֣ה לֵוִ֔י ,529695,הַקְרֵב֙ אֶת־מַטֵּ֣ה לֵוִ֔י ,Main,Q,impv,ZIm0,p2,QRB[,הקרב,וְשֵׁרְת֖וּ אֹתֹֽו׃ ,529697,וְשֵׁרְת֖וּ אֹתֹֽו׃ ,Main,Q,wqtl,WQt0,p3,CRT[,שׁרתו
