bhsa_node,french_tense
80623,
80629,
80637,
80641,
81110,
81123,
81132,
81353,
81379,
81382,
81398,
81460,
81801,
81865,
81884,
81893,
81925,
81949,
81957,
81969,
82045,
82052,
82061,
82066,
82075,
82086,
82104,
82115,
82122,
82127,
82139,
82155,
82161,
82166,
82174,
82184,
82197,
82207,
82212,
82236,
82290,
82367,
82377,
82384,
82387,
82394,
82430,
82448,
82455,
82458,
82463,
82475,
82497,
82686,
82693,
82696,
82703,
82938,
83051,
83059,
83167,
83314,
83319,
83322,
83334,
83342,imparfait
83348,imparfait
83438,
83774,
83983,
84047,
84745,
85026,passé_comp
85034,passé_comp
85154,
85499,
85504,
85513,
85517,
85530,
85595,imparfait
85598,
85835,
85904,
87032,
87052,
87063,
87074,
87087,
87098,
87101,
87137,
87140,
87236,
87241,
87255,
87260,
87278,
87355,
87371,
87667,
87798,
87892,
87987,
87995,
88082,
88089,
88474,
88608,
88616,
88627,
88631,
88685,
88691,
88694,
88712,
88754,
88757,
88763,
88825,
88851,
89326,
89345,
89353,
89391,
89410,
89449,
89485,
90171,
90179,passé_comp
90216,
90277,
90294,
90304,
90312,
90444,
90450,
90465,
91266,
91278,
91287,
91303,
91308,
91320,
91365,
91379,
91389,
91410,
91432,
91443,
91454,
91463,
91466,
91473,
91476,
91479,
91487,
91495,
91533,
91539,
91544,
91553,
91562,
91575,
91579,
91586,
91592,
91830,
91851,
91888,
92025,
92036,
92044,
92052,
92273,
92290,
92302,
92313,
92342,
92354,
92389,
92575,
92586,
92592,
92614,
93124,
93167,
93636,
93809,
93840,
93851,
94083,
94235,
94237,
94275,
94284,
94335,
94528,
94938,
94954,
95177,
95179,
95270,
95272,
95291,
95366,
95500,
95523,
95574,
95591,passé_simp
95593,
95596,
95680,
95700,
95724,
95729,
95731,
95736,
95781,
95788,
95800,
95822,
95829,
95844,
95855,
95860,
96071,
96075,
96097,
96161,
96170,
96338,
96341,
96534,
96577,
96765,
96789,
96829,
96831,
96863,
96915,
96926,
96953,
96956,
97019,
97022,
97051,
97067,
97080,
97084,
97103,
97109,
97115,
97123,
97173,
97175,
97226,
97256,
97269,
97271,
97314,
97432,
97464,
97470,
97503,imparfait
97507,
97512,
97612,
97655,
97675,
97684,
97686,
97689,
97705,
97707,
97709,
97711,
97753,
97770,
97775,
97900,
97923,
97929,
97935,
97940,
97968,
97985,
98010,
98012,
98014,
98024,
98104,
98118,
98189,
98191,
98193,
98228,
98234,
98252,
98255,
98314,
98329,
98356,
98364,
98369,
98371,
98441,
98462,
98464,
98551,
99137,
99159,
99478,
99530,
99591,
99596,
99608,
99750,
99763,
99765,
99821,
99867,
99895,
99904,
99911,
99918,
99920,
99927,
99929,
99933,
99936,
99941,imparfait
99957,
99970,
99980,
99987,
99993,
100017,
100079,
100091,
100185,
100204,
100219,
100279,
100282,
100285,
100365,
100369,
100383,
100418,
100421,
100443,
100450,
100496,passé_comp
100501,
100511,
100519,
100522,
100558,
100623,
100718,
100749,
100778,
100792,
100874,
100882,
100907,
100954,
100957,
101045,
101051,
101170,
101269,
101274,
101348,
101350,
101352,
101400,
101416,
101438,
101442,
101444,
101766,
101797,
101859,
101864,
101870,
101880,
101910,
101917,
101951,
101955,
101978,
101980,
102088,
102096,
102166,
102177,imparfait
102182,
102250,
102290,
102313,
102331,
102336,
102344,
102372,
102472,
102489,
102609,
102611,
102621,
102626,
102662,
102679,
102723,
102730,
102732,
102753,
102805,
102873,
102905,
103010,
103013,
103015,
103031,
103062,
103067,
103103,
103133,
103135,
103145,
103163,
103165,
103172,
103189,
103247,
103253,
103280,
103282,
103285,
103368,
103375,
103393,
103396,
103507,
103567,
103579,
103768,
103773,
103780,
103820,
103884,
103886,
103911,
103920,
103935,
103963,
103973,
103980,
103984,
103994,
104007,
104013,
104051,
104092,
104117,
104128,
104131,
104134,
104137,
104139,
104147,
104151,
104156,
104164,
104170,
104177,
104240,
104266,
104281,
104291,
104344,
104364,
104371,
104375,
104380,
104421,
104502,
104511,
104535,
104546,
104561,
104566,
104571,
104574,
104586,
104593,
104597,
104600,
104606,
104634,
104717,
104772,
104774,
104808,
104813,
104822,
104831,
104849,
104869,
104878,
104929,
104931,
104961,
104989,
104995,
104998,
105006,
105009,
105014,
105019,
105023,
105027,
105034,
105038,
105052,
105054,
105059,
105065,
105095,
105104,
105113,
105182,
105189,
105195,
105205,
105222,
105230,
105232,
105252,
105254,
105297,
105313,
105318,
105325,
105348,
105365,
105441,
105448,
105509,passé_comp
105512,
105514,
105519,
105524,
105540,
105547,
105559,
105596,
105605,
105615,
105618,
105623,
105661,
105670,
105677,
105688,
105702,
105716,
105729,
105735,
105738,
105748,
105754,
105778,
105797,passé_simp
105802,
105805,
105834,
105864,
105866,
105869,
105871,
106047,
106064,
106078,
106106,
106116,
106121,
106124,
106126,
106145,
106155,
106276,
106292,
106310,
106326,
106342,
106344,
106357,
106362,
106366,
106370,
106374,
106376,
106381,
106387,
106392,
106396,
106472,
106497,
106500,
106502,
106508,
106605,
106609,
106660,
106689,
106718,
106781,
106805,
106810,
106812,
106817,
106822,
106829,
106833,
106854,
106868,
106889,
106894,
106896,
106924,
106932,
106946,
106951,
106954,
106956,
106962,
106970,
106976,
106980,
106982,
106995,
107011,
107023,
107026,passé_simp
107030,
107126,
107159,
107172,
107174,
107177,
107194,
107199,
107212,
107224,
107246,
107254,
107261,
107263,
107378,
107384,
107390,
107430,
107445,
107449,
107451,
107567,
107569,
107678,
107696,
107701,
107707,
107742,
107764,
107770,
107790,
107797,
107800,
107803,
107809,
107850,
107856,
107925,
107929,
107950,
107955,
107960,
107968,
107978,
107990,
108003,
108018,
108029,
108044,
108054,
108066,
108080,
108099,
108105,
108126,
108136,
108144,
108225,
108251,
108255,
108266,
108269,
108319,
108327,
108336,
108385,
108408,
108416,
108532,
108536,
108582,
108591,
108642,
108661,
108746,
108755,
108803,
108811,
108842,
108918,
108926,
108928,
108946,
108975,
108995,
109037,
109062,
109083,
109097,
109266,
109284,
109295,
109318,
109339,
109364,passé_comp
109376,
109392,
109421,
109434,
109441,
109477,
109494,
109682,
109690,
109887,
109897,
109935,imparfait
109948,imparfait
109957,
109979,
109998,
110046,
110069,
110176,
110195,
110208,
110213,
110234,
110240,
110242,
110244,
110271,
110281,
110283,
110285,
110289,
110313,
110333,
110338,
110348,
110532,
110534,
110536,
110556,
110558,
110563,
110613,
110721,
110732,
110753,
110758,
110941,
110946,
110963,
111045,
111051,
111064,
111066,
111073,
111082,
111084,
111088,
111092,
111098,
111181,
111183,
111185,
111187,
111192,
111194,
111196,
111200,
111209,
111323,
111332,
111398,
111406,
111894,
111916,
111964,
112016,
112248,passé_comp
112257,passé_comp
112538,
113098,
113224,
113259,
113269,
113281,
113286,
113641,
113649,
113654,
113672,
113693,
113702,
113739,
113804,
113841,
114007,
114222,
114443,
114447,
114522,
114544,
114875,
115384,
115434,
115454,
115460,
115533,passé_simp
115594,
115643,passé_simp
115751,
115792,
115797,
115804,
116049,
116311,
116314,
116404,
116432,
116439,
116470,
116831,
116906,
116922,
116933,imparfait
116937,
116956,imparfait
116966,
116971,
116977,
117985,
118012,
118786,
121326,
121424,imparfait
121431,imparfait
121434,imparfait
121440,imparfait
121443,imparfait
121446,imparfait
121450,imparfait
121453,imparfait
121457,
121491,imparfait
121496,imparfait
121502,imparfait
121510,imparfait
121534,imparfait
121541,
121546,
121560,imparfait
121580,imparfait
121592,imparfait
121598,imparfait
121605,imparfait
121615,imparfait
121625,imparfait
121628,imparfait
121631,imparfait
121639,imparfait
121644,imparfait
121649,imparfait
121652,
121738,
121740,
121797,
122205,imparfait
122210,imparfait
122217,imparfait
122231,
122258,imparfait
122268,imparfait
122274,imparfait
122280,imparfait
122287,imparfait
122291,imparfait
122303,
122553,imparfait
122576,imparfait
122750,
122832,
122834,
122929,
122957,
122961,
123125,imparfait
123134,imparfait
123140,
123145,imparfait
123158,imparfait
123172,imparfait
123176,imparfait
123190,
123209,imparfait
123214,imparfait
123220,imparfait
123238,imparfait
123247,imparfait
123250,imparfait
123254,
123257,
123264,imparfait
123270,imparfait
123278,imparfait
123282,imparfait
123290,
123326,
123542,imparfait
123550,imparfait
123554,
123563,imparfait
123574,imparfait
123579,imparfait
123592,imparfait
123599,imparfait
123607,
123681,imparfait
123691,
123741,imparfait
123750,imparfait
123756,imparfait
123768,imparfait
123785,
123796,imparfait
123801,
123867,imparfait
123873,imparfait
123878,imparfait
124170,
124179,
124188,
124194,
124205,
124211,
124215,
124248,
124281,
125284,passé_comp
125706,
125903,
125969,
125978,
126307,
126313,
126323,
126426,
126440,
126453,
126456,
126479,
126523,
126557,
126608,
126610,
126614,
126617,
126622,
127164,
127168,
127170,
127173,
127316,
127505,
127685,
127687,
127749,
127940,
128270,
128579,
128585,imparfait
128604,
128611,
129203,
129503,
129508,
129521,
129538,
129549,
129830,
129835,
129837,
129843,
130326,passé_comp
130331,passé_comp
130333,
130465,
130470,
130478,imparfait
130512,imparfait
130721,
130761,
130777,
130793,
130797,
130991,
131007,
131022,
131029,
131304,
131505,
131603,
131688,
131696,
131784,
131885,
131892,
131902,
131913,
132284,
132915,
133072,
133104,
133136,
133554,
133564,
133579,
134574,
134619,
134622,
134627,
134651,
135141,
135159,
135163,
135306,
135506,
135747,
135749,
136077,imparfait
136502,
136504,
136520,
137017,
137150,
137245,
137325,
137369,
137371,
137456,
137458,
137612,
137616,
137618,
137651,passé_simp
138925,
139271,
139316,
139321,
139393,
139408,
139854,
139859,
140068,
140624,
141202,
141403,
141408,
141421,
141426,
141434,
141438,
141448,
141583,imparfait
141622,imparfait
141649,imparfait
141751,
141758,
141764,
141777,
141980,
141982,
141987,
142302,imparfait
142319,imparfait
142362,imparfait
142367,imparfait
142409,
142454,imparfait
142470,
142478,
142496,passé_simp
142525,passé_simp
142587,
142738,
142752,
142813,
142826,
142831,
142839,
142856,
143028,
143033,
143101,
143506,
143510,
143757,
143959,
144175,
144211,
144223,
144283,
144291,
144298,
144303,
144324,
144327,
144329,
144349,
145044,imparfait
145051,
145060,
145250,
145287,
145295,
145348,
145357,
145379,
145391,
145432,
145440,
145443,
145447,
145472,
145612,
145695,
145701,
145891,
145898,
145965,
145970,
146242,
146254,
146272,
146281,
146287,
146292,
146317,
146322,
146327,
146348,
146369,
146374,
146377,
146382,
146400,
146424,
146430,
146881,
146908,
147074,
147243,
147524,
147527,
147537,
147558,
147563,
147693,
147749,
147763,
148248,
148273,
148499,
148510,
148523,
148869,
149098,
149108,
149112,
149519,imparfait
149578,
149582,
149592,
149926,
149933,
150133,
150170,
150308,
150311,
150321,
150328,
150341,
150378,
150589,imparfait
150620,
150628,
150647,
150754,
150762,imparfait
150768,
150772,imparfait
150779,imparfait
150948,
150950,
150960,
150962,
150967,
151199,imparfait
151301,
151348,
151494,
151540,imparfait
151548,
151554,imparfait
151557,
151559,
151566,passé_simp
151570,
151572,
151583,
151638,passé_simp
151837,
151839,
151845,
151894,passé_comp
151899,
152861,
152866,
152871,
152888,
152891,
153536,
153538,
153552,
153590,
153696,
153716,
153720,
153722,
153779,
153806,
153811,
153815,
153827,
154850,
155351,
155364,
155369,
155813,
155818,
155821,
155828,
156064,
156222,passé_comp
156285,
156324,
156329,
156414,
156438,
156588,
156592,
156599,
156716,
156730,
156927,
157123,
157168,
157190,
157205,
157234,
157239,
157782,
157796,
157803,
158225,
158236,
158396,imparfait
158408,imparfait
158492,
159365,
159410,
159415,
160257,
160259,
162142,
162889,
163373,
163743,
163919,
163924,
163929,
164026,
164143,
164156,
164163,
164165,
164195,passé_comp
164201,
164213,
164217,
164226,
164235,
164256,
164282,
165104,
165158,imparfait
165169,
165171,
165177,
165390,
165515,
165526,
166075,
166079,
166081,
166158,
166165,
166211,
166632,
166638,
166642,
166744,
166746,imparfait
166748,
166813,
166915,
166918,
167030,
167098,passé_simp
167217,
167222,
167232,
167242,
167538,passé_simp
167564,
167757,
167763,
168054,
168064,
168069,
168174,
168238,
168342,passé_comp
168668,
168681,
168683,
168842,
168896,imparfait
168899,imparfait
168978,
168980,
168988,imparfait
168992,imparfait
168995,imparfait
169065,
169098,
169193,
169195,
169201,
169486,
169488,
169590,
169647,
169657,
169677,
169693,
169724,
169867,
170052,
170090,imparfait
170230,
170238,
170319,
170322,
170329,
170475,
170483,
170487,
170550,
170560,
170589,
170599,
170719,imparfait
170723,
170729,
171587,
172131,
172409,passé_simp
172417,passé_simp
172792,
173239,
173417,imparfait
173858,
174642,
175225,passé_simp
175471,
175693,
176108,
176118,
176122,
176344,
176383,
176508,
176517,
176787,
176797,
176802,
176817,
176822,
176828,
176831,
176833,
177249,
177297,
177299,
177303,
177427,
177446,
177508,
177514,
178018,
178020,
178034,
178075,
178161,
178172,
178177,
178305,
178356,
178595,
178665,
178730,
179157,imparfait
179471,imparfait
179868,
180328,
180336,
180346,
180718,
180728,
180776,
180784,
182668,
182727,
182751,
182753,
182761,
182767,
182783,
182785,
182816,
182819,
182823,
182825,
182838,
182844,
182863,
182870,
182885,
182903,
182959,
182974,
182976,
182978,
183028,
183050,
183052,
183065,
183114,
183131,
183140,
183152,
183155,
183160,
183170,
183180,
183182,
183191,passé_comp
183194,
183210,
183230,
183241,
183244,
183258,
183265,
183474,
183730,
