genre,prose,prophetic,prose,poetry,instruction,prophetic,prophetic,list,poetry,prose,prose,list,instruction,prophetic,instruction,list,instruction,list
domain2,Q,Q,N,Q,Q,N,?,N,?,D,?,?,D,D,?,Q,N,D
eng_TAMsimp,,,,,,,,,,,,,,,,,,
PRES PROG ~ TO INF,-0.3,0.74,-0.21,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PROG ~ PRES PROG keep,-0.3,0.74,-0.21,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PERF ~ TO INF,0.71,-0.26,-0.21,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PERF ~ PRES PERF PROG,0.71,-0.26,-0.21,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ VB,-0.3,0.74,-0.21,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PROG ~ TO INF,-0.3,-0.26,0.8,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would ~ PRES PROG,0.71,-0.26,-0.21,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would ~ PRES PERF,-0.3,0.74,-0.21,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD was to ~ PRES PART,-0.3,-0.26,0.8,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD that VB ~ PRES PART,-0.3,-0.26,0.8,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should ~ PRES,-0.3,0.74,-0.21,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ MOD may,-0.3,0.74,-0.21,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should ~ PAST,-0.3,-0.26,0.8,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should ~ MOD was to,-0.3,-0.26,0.8,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ PRES PERF,-0.3,0.74,-0.21,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ PAST,0.71,-0.26,-0.21,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD need not ~ TO INF,-0.3,0.74,-0.21,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD must ~ PRES PART,0.71,-0.26,-0.21,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may ~ PRES PART,-0.3,-0.26,-0.21,0.91,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ TO INF,0.71,-0.26,-0.21,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ MOD would,0.71,-0.26,-0.21,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD could ~ PRES PART,-0.3,-0.26,-0.21,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0
FUT PROG ~ MOD is to,0.71,-0.26,-0.21,-0.09,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
