bhsa_node,mother_clause,mother_type,mother_verbtype,mother_rela,mother_domain2,daught_clause,daught_type,daught_verbtype,daught_rela,daught_domain2
324675,שְׁמַ֣ע ,ZIm0,impv,Main,Q,יִ֝שְׂרָאֵ֗ל ,Voct,Ø,Main,Q
324679,שְׁמַ֣ע ,ZIm0,impv,Main,Q,לֹֽא־יִהְיֶ֣ה בְ֭ךָ אֵ֣ל זָ֑ר ,xYqX,yqtl,Main,Q
324682,אִם־תִּֽשְׁמַֽע־לִֽי׃ ,xYq0,yqtl,SubAdv,Q,וְלֹ֥א תִ֝שְׁתַּחֲוֶ֗ה לְאֵ֣ל נֵכָֽר׃ ,WxY0,yqtl,Main,Q
324688,לֹֽא־יִהְיֶ֣ה בְ֭ךָ אֵ֣ל זָ֑ר ,xYqX,yqtl,Main,Q,,,,,
324703,הַרְחֶב־פִּ֝֗יךָ ,ZIm0,impv,Main,Q,,,,,
324720,וָֽ֭אֲשַׁלְּחֵהוּ בִּשְׁרִיר֣וּת לִבָּ֑ם ,Way0,wayq,Main,Q,,,,,
324730,ל֗וּ עַ֭מִּי שֹׁמֵ֣עַֽ לִ֑י ,Ptcp,ptcp,SubAdv,Q,,,,,
324734,ל֗וּ עַ֭מִּי שֹׁמֵ֣עַֽ לִ֑י ,Ptcp,ptcp,SubAdv,Q,וְעַ֥ל צָ֝רֵיהֶ֗ם אָשִׁ֥יב יָדִֽי׃ ,WxY0,yqtl,Main,Q
324738,כִּ֭מְעַט אֹויְבֵיהֶ֣ם אַכְנִ֑יעַ ,xYq0,yqtl,Main,Q,,,,,
324742,כִּ֭מְעַט אֹויְבֵיהֶ֣ם אַכְנִ֑יעַ ,xYq0,yqtl,Main,Q,וִיהִ֖י עִתָּ֣ם לְעֹולָֽם׃ ,WYqX,yqtl,Main,Q
324745,מְשַׂנְאֵ֣י יְ֭הוָה יְכַֽחֲשׁוּ־לֹ֑ו ,XYqt,yqtl,Main,Q,,,,,
324758,וַֽ֭יַּאֲכִילֵהוּ מֵחֵ֣לֶב חִטָּ֑ה ,Way0,wayq,Main,Q,,,,,
324770,אֱֽלֹהִ֗ים נִצָּ֥ב בַּעֲדַת־אֵ֑ל ,Ptcp,ptcp,Main,Q,עַד־מָתַ֥י תִּשְׁפְּטוּ־עָ֑וֶל ,xYq0,yqtl,Main,Q
324773,בְּקֶ֖רֶב אֱלֹהִ֣ים יִשְׁפֹּֽט׃ ,xYq0,yqtl,Main,Q,וּפְנֵ֥י רְ֝שָׁעִ֗ים תִּשְׂאוּ־,WxY0,yqtl,Main,Q
324778,עַד־מָתַ֥י תִּשְׁפְּטוּ־עָ֑וֶל ,xYq0,yqtl,Main,Q,סֶֽלָה׃ ,MSyn,Ø,Main,Q
324800,לֹ֤א יָֽדְע֨וּ׀ ,xQt0,qtl,Main,Q,,,,,
324803,לֹ֤א יָֽדְע֨וּ׀ ,xQt0,qtl,Main,Q,יִ֝מֹּ֗וטוּ כָּל־מֹ֥וסְדֵי אָֽרֶץ׃ ,ZYqX,yqtl,Main,Q
324804,בַּחֲשֵׁכָ֥ה יִתְהַלָּ֑כוּ ,xYq0,yqtl,Main,Q,,,,,
324819,אֱלֹהִ֣ים אַתֶּ֑ם ,NmCl,Ø,Main,Q,וּכְאַחַ֖ד הַשָּׂרִ֣ים תִּפֹּֽלוּ׃ ,WxY0,yqtl,Main,Q
324825,אָ֭כֵן כְּאָדָ֣ם תְּמוּת֑וּן ,xYq0,yqtl,Main,Q,,,,,
