eng_TAMsimp,qal,hif,piel,nif,hit,pual,hof,hsht,nit,htpo
FUT ~ MOD VB,0.35,-0.16,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD ~ MOD would,-0.65,0.84,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would ~ TO INF,0.35,-0.16,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD must,0.35,-0.16,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ FUT PROG,0.35,-0.16,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD might ~ MOD would,-0.65,-0.16,0.9,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PROG ~ TO INF,-0.65,-0.16,0.9,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
FUT PROG,0.35,-0.16,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD should,0.35,-0.16,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD that be,-0.65,-0.16,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,1.0,-0.0
PAST PERF ~ PRES PART,-0.65,0.84,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD could,0.35,-0.16,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PERF ~ TO INF,0.35,-0.16,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ MOD might,0.35,-0.16,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD might,-0.65,0.84,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD quest must ~ MOD shall,0.35,-0.16,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
PRES ~ VB,-0.65,0.84,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD could ~ MOD would,0.35,-0.16,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD lest ~ PRES,0.35,-0.16,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
HAB used to ~ PAST PROG,-0.65,-0.16,0.9,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
HAB used to ~ PRES PART,0.35,-0.16,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD could ~ TO INF,0.35,-0.16,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD VB,-0.65,0.84,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ MOD lest,0.35,-0.16,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ PRES PART,0.35,-0.16,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD VB ~ MOD can,0.35,-0.16,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
