period,SBH,SBH,LBH,SBH,LBH,SBH,SBH,SBH,SBH,LBH,SBH,LBH,LBH,SBH,SBH,LBH,SBH,LBH,SBH,LBH,SBH
genre,prose,prose,prose,instruction,prose,prose,poetry,instruction,prose,list,list,list,prose,instruction,instruction,poetry,list,list,list,prose,list
domain2,Q,N,N,Q,Q,?,Q,D,D,N,N,?,?,N,?,Q,Q,Q,D,D,?
eng_TAMsimp,,,,,,,,,,,,,,,,,,,,,
MOD must ~ MOD shall,0.16,-0.24,-0.12,-0.1,0.41,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PART ~ PRES PERF,0.66,-0.24,-0.12,-0.1,-0.09,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ PRES PART,0.66,-0.24,-0.12,-0.1,-0.09,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PART ~ PRES PERF PROG,0.66,-0.24,-0.12,-0.1,-0.09,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PERF ~ PRES PART,-0.34,0.76,-0.12,-0.1,-0.09,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD must ~ PRES,0.66,-0.24,-0.12,-0.1,-0.09,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PERF ~ PAST PERF PROG,-0.34,0.76,-0.12,-0.1,-0.09,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PERF ~ PRES PROG,0.66,-0.24,-0.12,-0.1,-0.09,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD must,0.66,-0.24,-0.12,-0.1,-0.09,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ PRES,0.16,-0.24,-0.12,-0.1,-0.09,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.5,-0.0,-0.0,-0.0,-0.0,-0.0
MOD was to ~ TO INF,-0.34,-0.24,0.88,-0.1,-0.09,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD was to ~ PAST PROG,-0.34,0.76,-0.12,-0.1,-0.09,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT PROG ~ PRES PART,0.66,-0.24,-0.12,-0.1,-0.09,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT going-to ~ PRES PART,0.66,-0.24,-0.12,-0.1,-0.09,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ PAST,0.66,-0.24,-0.12,-0.1,-0.09,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
