eng_TAMsimp,person,TOTAL,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,ZYqX,WxYX,WYqX,CPen
PAST ~ PAST PERF,p3,7,3,1,1,0,2,0,0,0,0,0,0
MOD let ~ PAST,p3,7,1,0,2,0,0,0,1,3,0,0,0
FUT ~ PAST,p1,6,1,2,0,0,0,2,1,0,0,0,0
MOD let ~ TO INF,p1,6,0,0,0,0,0,3,3,0,0,0,0
MOD shall ~ TO INF,p1,6,5,0,0,0,0,0,1,0,0,0,0
MOD may ~ PRES,p1,6,2,1,0,0,0,0,3,0,0,0,0
MOD let ~ PRES PART,p3,6,2,1,0,1,2,0,0,0,0,0,0
MOD might,p1,6,3,0,0,0,0,1,2,0,0,0,0
MOD can ~ MOD shall,p2,6,3,2,0,0,1,0,0,0,0,0,0
PAST PERF,p3,6,0,0,2,0,2,0,0,0,2,0,0
PRES PART ~ TO INF,p3,6,2,2,0,0,0,1,1,0,0,0,0
PAST ~ PAST PROG,p3,5,2,1,0,0,2,0,0,0,0,0,0
MOD can ~ MOD could,p3,5,1,0,1,1,1,0,0,0,1,0,0
PRES ~ PRES PROG,p2,5,3,0,0,1,1,0,0,0,0,0,0
IMPV ~ PAST,p2,5,1,3,0,0,0,0,1,0,0,0,0
MOD should ~ TO INF,p2,5,4,1,0,0,0,0,0,0,0,0,0
MOD should ~ TO INF,p1,5,3,1,0,0,0,0,1,0,0,0,0
MOD could ~ PAST,p3,5,1,2,1,0,1,0,0,0,0,0,0
MOD lest,p3,5,2,0,1,0,0,0,2,0,0,0,0
MOD VB ~ MOD may,p3,5,0,1,1,1,1,0,0,1,0,0,0
MOD should ~ MOD was to,p3,5,3,0,1,0,1,0,0,0,0,0,0
MOD was to,p3,5,1,1,0,1,2,0,0,0,0,0,0
MOD can ~ TO INF,p3,5,1,1,0,1,0,0,2,0,0,0,0
MOD may ~ MOD must,p2,5,2,3,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD may,p3,5,3,0,1,0,1,0,0,0,0,0,0
MOD can ~ MOD should,p3,5,2,0,3,0,0,0,0,0,0,0,0
FUT going-to ~ MOD shall,p2,5,5,0,0,0,0,0,0,0,0,0,0
MOD lest ~ PRES,p3,5,2,2,0,0,0,0,0,0,1,0,0
MOD may ~ PRES PART,p3,5,0,2,0,0,0,0,3,0,0,0,0
MOD might ~ MOD would,p3,5,2,0,1,0,1,0,1,0,0,0,0
FUT ~ PRES PART,p1,5,1,1,0,0,0,3,0,0,0,0,0
FUT ~ PRES PROG,p1,4,2,0,0,0,0,1,1,0,0,0,0
FUT ~ MOD must,p3,4,0,0,0,1,2,1,0,0,0,0,0
FUT ~ MOD should,p2,4,3,1,0,0,0,0,0,0,0,0,0
MOD may ~ TO INF,p2,4,4,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD should,p1,4,1,0,1,0,0,1,1,0,0,0,0
MOD let ~ PAST,p1,4,2,0,0,0,0,2,0,0,0,0,0
MOD let ~ MOD must,p1,4,0,0,0,0,0,1,3,0,0,0,0
MOD must ~ PRES,p1,4,4,0,0,0,0,0,0,0,0,0,0
MOD could ~ MOD would,p3,4,2,1,0,1,0,0,0,0,0,0,0
MOD can ~ MOD let,p1,4,2,1,0,0,0,0,1,0,0,0,0
MOD must ~ MOD shall,p1,4,2,1,0,0,0,1,0,0,0,0,0
MOD VB ~ PRES,p3,4,2,0,1,0,1,0,0,0,0,0,0
HAB used to,p3,4,2,0,0,0,2,0,0,0,0,0,0
FUT ~ TO INF,p2,4,3,0,0,1,0,0,0,0,0,0,0
MOD could ~ MOD might,p3,4,1,1,1,0,0,0,0,0,1,0,0
MOD shall ~ MOD would,p3,4,2,0,0,1,0,0,0,0,1,0,0
MOD might ~ TO INF,p3,4,1,0,0,1,1,1,0,0,0,0,0
MOD can ~ PAST,p3,4,0,1,1,1,1,0,0,0,0,0,0
PRES ~ PRES PART,p1,4,3,1,0,0,0,0,0,0,0,0,0
MOD would ~ PRES,p1,4,3,1,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD may,p1,3,2,1,0,0,0,0,0,0,0,0,0
FUT ~ MOD must,p1,3,1,1,0,1,0,0,0,0,0,0,0
IMPV ~ MOD lest,p3,3,0,1,1,0,1,0,0,0,0,0,0
MOD can ~ PRES PART,p3,3,0,0,0,0,2,0,0,0,1,0,0
FUT ~ MOD that be,p3,3,0,1,0,0,0,0,0,0,2,0,0
PRES PART,p1,3,1,1,0,0,0,0,0,1,0,0,0
MOD could ~ MOD would,p1,3,1,1,0,0,0,1,0,0,0,0,0
