,,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,WxYX,ZYqX,WYqX,CPen
HAB used to,p3,0.2,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD may,p3,0.0,0.0,0.0,0.45,0.48,0.0,0.0,0.0,1.1,0.0,0.0
MOD let,p2,0.2,0.29,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD would,p3,0.2,0.29,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ TO INF,p2,-0.52,3.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ TO INF,p1,0.82,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD should,p2,0.82,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ MOD shall,p1,0.2,0.29,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0
MOD can ~ PAST,p3,-0.52,0.29,0.44,0.45,0.48,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD must,p3,-0.52,0.0,0.0,0.45,1.33,0.62,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES,p1,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO INF,p1,0.2,0.29,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0
FUT ~ PAST,p1,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0
MOD would ~ PRES,p1,0.82,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD VB ~ PRES,p3,0.2,0.0,0.44,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ IMPV,p3,-0.52,0.0,0.0,2.39,0.0,0.62,0.0,0.0,0.0,0.0,0.0
MOD might,p1,0.82,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0
MOD shall ~ MOD would,p3,0.2,0.0,0.0,0.45,0.0,0.0,0.0,0.95,0.0,0.0,0.0
MOD may ~ TO INF,p2,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
