eng_TAMsimp,person,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,ZYqX,WxYX,WYqX,CPen
PAST ~ TO INF,p3,0.67,inf,4.0,inf,9.0,inf,9.0,inf,inf,inf,inf
FUT ~ MOD can,p2,0.67,2.33,inf,inf,inf,inf,9.0,inf,inf,inf,inf
FUT ~ MOD lest,p1,0.11,9.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES PART,p3,1.0,4.0,9.0,9.0,inf,inf,inf,inf,inf,9.0,inf
PRES ~ PRES PROG,p3,2.33,inf,2.33,9.0,9.0,inf,inf,9.0,9.0,inf,inf
FUT ~ MOD let,p1,3.5,3.5,inf,inf,8.0,2.0,inf,8.0,inf,inf,inf
MOD may ~ PRES,p2,0.5,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ PRES,p1,0.8,2.0,8.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD let,p3,inf,8.0,3.5,2.0,8.0,inf,8.0,8.0,inf,inf,inf
FUT ~ TO INF,p1,inf,1.25,inf,inf,8.0,3.5,3.5,inf,inf,inf,inf
FUT ~ PAST,p3,3.5,8.0,8.0,8.0,2.0,inf,inf,inf,inf,8.0,inf
IMPV ~ MOD can,p3,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ TO INF,p3,0.8,inf,2.0,8.0,inf,inf,inf,inf,inf,inf,inf
MOD was to ~ PAST,p3,0.8,inf,2.0,inf,inf,inf,8.0,inf,inf,inf,inf
PRES ~ TO INF,p2,0.29,inf,inf,inf,inf,3.5,inf,inf,inf,inf,inf
MOD is to,p3,1.25,inf,3.5,2.0,inf,inf,inf,inf,inf,inf,inf
MOD may ~ TO INF,p1,7.0,inf,inf,inf,inf,inf,0.33,inf,inf,7.0,inf
PAST ~ PRES PERF,p1,3.0,3.0,inf,inf,inf,7.0,1.67,inf,inf,inf,inf
MOD must ~ PRES,p2,0.33,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD can,p1,1.0,1.67,inf,inf,7.0,inf,inf,inf,inf,inf,inf
PRES ~ PRES PERF,p1,1.0,inf,inf,7.0,inf,3.0,7.0,inf,inf,inf,inf
TO INF,p1,3.0,7.0,inf,inf,inf,7.0,1.0,inf,inf,inf,inf
MOD could,p1,1.0,3.0,inf,inf,inf,inf,3.0,inf,inf,inf,inf
MOD would ~ PRES,p3,0.33,inf,inf,7.0,7.0,inf,inf,inf,inf,inf,inf
FUT ~ MOD should,p3,1.67,inf,7.0,3.0,3.0,inf,inf,inf,inf,inf,inf
MOD lest ~ PRES,p2,0.14,7.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD may,p2,0.6,3.0,inf,inf,7.0,inf,inf,inf,inf,inf,inf
