,,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,WxYX,ZYqX,WYqX,CPen
MOD may ~ PRES,p1,3.33,2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD that be,p3,0.0,2.58,0.0,0.0,0.0,0.0,0.0,67.08,0.0,0.0,0.0
IMPV ~ PAST,p2,0.83,2.58,0.0,0.0,0.0,0.0,14.52,0.0,0.0,0.0,0.0
MOD can ~ TO INF,p3,0.83,2.58,0.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PERF,p1,3.33,0.0,0.0,0.0,0.0,7.08,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD must,p3,1.66,0.0,0.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ TO INF,p1,1.66,5.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD is to,p2,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD let,p1,1.66,5.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ PRES PART,p2,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD must,p1,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD should,p3,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD would,p1,1.66,5.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD could,p1,1.66,5.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD should,p2,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ PRES PART,p2,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
MOD may ~ PAST,p3,1.66,0.0,8.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD can,p2,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD might,p3,0.0,5.17,0.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES PERF,p3,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ TO INF,p1,1.66,0.0,0.0,0.0,0.0,0.0,29.04,0.0,0.0,0.0,0.0
