bhsa_node,lxx,lxx_tense,lxx_voice,lxx_mood,lxx_person,lxx_number,lxx_verse,lxx_tm
149158,διαρπάσωμεν,aorist,active,subj,1,pl,1SA 14:36,aorist subj
149181,προσέλθωμεν,aorist,active,subj,1,pl,1SA 14:36,aorist subj
149883,ἀπαγγελῶ,future,active,indc,1,sg,1SA 15:16,future indc
150986,μονομαχήσομεν,future,active,indc,1,pl,1SA 17:10,future indc
151786,δώσω,future,active,indc,1,sg,1SA 17:44,future indc
154043,διασωθήσομαι,future,passsive,indc,1,sg,1SA 20:29,future indc
157829,ἀπέλθωμεν,aorist,active,subj,1,pl,1SA 26:11,aorist subj
158317,καθήσομαι,future,middle,indc,1,sg,1SA 27:5,future indc
158649,πορεύσομαι,future,middle,indc,1,sg,1SA 28:7,future indc
158652,ζητήσω,future,active,indc,1,sg,1SA 28:7,future indc
159040,παραθήσω,future,active,indc,1,sg,1SA 28:22,future indc
162125,ἀναστήσομαι,future,middle,indc,1,sg,2SA 3:21,future indc
162127,πορεύσομαι,future,middle,indc,1,sg,2SA 3:21,future indc
162129,συναθροίσω,future,active,indc,1,sg,2SA 3:21,future indc
163940,δοξασθῆναι,aorist,passsive,infv,,,2SA 6:22,aorist infv
166558,προσθήσω,future,active,indc,1,sg,2SA 12:8,future indc
168168,ἐξαροῦμεν,future,active,indc,1,pl,2SA 14:7,future indc
168371,λαλησάτω,aorist,active,impv,3,sg,2SA 14:15,aorist impv
168814,ἀποστελῶ,future,active,indc,1,sg,2SA 14:32,future indc
169035,πορεύσομαι,future,middle,indc,1,sg,2SA 15:7,future indc
169178,φύγωμεν,aorist,active,subj,1,pl,2SA 15:14,aorist subj
169982,διαβήσομαι,future,middle,indc,1,sg,2SA 16:9,future indc
169985,ἀφελῶ,future,active,indc,1,sg,2SA 16:9,future indc
170295,ἐπιλέξω,future,active,indc,1,sg,2SA 17:1,future indc
170302,ἀναστήσομαι,future,middle,indc,1,sg,2SA 17:1,future indc
170304,καταδιώξω,future,active,indc,1,sg,2SA 17:1,future indc
170336,ἐπιστρέψω,future,active,indc,1,sg,2SA 17:3,future indc
170379,ἀκούσωμεν,aorist,active,subj,1,pl,2SA 17:5,aorist subj
171433,ἄρξομαι,future,middle,indc,1,sg,2SA 18:14,future indc
171561,δράμω,aorist,active,subj,1,sg,2SA 18:19,aorist subj
171564,εὐαγγελιῶ,future,active,indc,1,sg,2SA 18:19,future indc
171638,δράμω,aorist,active,subj,1,sg,2SA 18:22,aorist subj
172632,ἐπίσαξόν,aorist,active,impv,2,sg,2SA 19:27,aorist impv
173505,λαλήσω,future,active,indc,1,sg,2SA 20:16,future indc
173603,ἀπελεύσομαι,future,middle,indc,1,sg,2SA 20:21,future indc
174661,διώξω,future,active,indc,1,sg,2SA 22:38,future indc
175763,ἐμπεσοῦμαι,future,middle,indc,1,sg,2SA 24:14,future indc
175776,ἐμπέσω,future,active,indc,1,sg,2SA 24:14,future indc
186979,δώσω,future,active,indc,1,sg,1KI 13:7,future indc
190343,δώσω,future,active,indc,1,sg,1KI 18:1,future indc
191874,καταφιλήσω,future,active,indc,1,sg,1KI 19:20,future indc
191882,ἀκολουθήσω,future,active,indc,1,sg,1KI 19:20,future indc
192494,πολεμήσομεν,future,active,indc,1,pl,1KI 21:25,future indc
192674,ἐπιθώμεθα,aorist,middle,subj,1,pl,1KI 21:31,aorist subj
193031,,,,,,,,
193041,,,,,,,,
193136,,,,,,,,
193787,ἐπερωτήσομεν,future,active,indc,1,pl,1KI 22:7,future indc
196056,ἐπιζητήσωμεν,aorist,active,subj,1,pl,2KI 3:11,aorist subj
196919,δραμοῦμαι,future,middle,indc,1,sg,2KI 4:22,future indc
196925,ἐπιστρέψω,future,active,indc,1,sg,2KI 4:22,future indc
197544,ἐξαποστελῶ,future,active,indc,1,sg,2KI 5:5,future indc
198179,πορευθῶμεν,aorist,passsive,subj,1,pl,2KI 6:2,aorist subj
198185,λάβωμεν,aorist,active,subj,1,pl,2KI 6:2,aorist subj
198552,ἀπάξω,future,active,indc,1,sg,2KI 6:19,future indc
199027,ἐμπέσωμεν,aorist,active,subj,1,pl,2KI 7:4,aorist subj
199199,εἰσέλθωμεν,aorist,active,subj,1,pl,2KI 7:9,aorist subj
199201,ἀναγγείλωμεν,aorist,active,subj,1,pl,2KI 7:9,aorist subj
199263,ἀναγγελῶ,future,active,indc,1,sg,2KI 7:12,future indc
199335,ἀποστελοῦμεν,future,active,indc,1,pl,2KI 7:13,future indc
207061,δώσω,future,active,indc,1,sg,2KI 18:23,future indc
207895,ἦλθον,aorist,active,indc,3,pl,2KI 19:23,aorist indc
212333,διελεγχθῶμεν,aorist,active,subj,1,pl,ISA 1:18,aorist subj
212430,ποιήσω,future,active,indc,1,sg,ISA 1:24,future indc
212434,ἐπάξω,future,active,indc,1,sg,ISA 1:25,future indc
212444,ἀπολέσω,aorist,active,subj,1,sg,ISA 1:25,aorist subj
212448,ἐπιστήσω,future,active,indc,1,sg,ISA 1:26,future indc
212587,πορευσόμεθα,future,middle,indc,1,pl,ISA 2:3,future indc
212634,πορευθῶμεν,aorist,passsive,subj,1,pl,ISA 2:5,aorist subj
213422,,,,,,,,
213496,ἀναγγελῶ,future,active,indc,1,sg,ISA 5:5,future indc
213744,γνῶμεν,aorist,active,subj,1,pl,ISA 5:19,aorist subj
214751,ποίησον,aorist,active,impv,2,sg,ISA 8:2,aorist impv
218034,ἔσται,future,middle,indc,3,sg,ISA 18:4,future indc
218036,ἔσται,future,middle,indc,3,sg,ISA 18:4,future indc
220228,ἠγαλλιώμεθα,imperfect,middle,indc,1,pl,ISA 25:9,imperfect indc
220230,εὐφρανθησόμεθα,future,passsive,indc,1,pl,ISA 25:9,future indc
220629,ἠθέτηκα,perfect,active,indc,1,sg,ISA 27:4,perfect indc
223921,δώσω,future,active,indc,1,sg,ISA 36:8,future indc
225195,,,,,,,,
226079,ἀναγγειλάτωσαν,aorist,active,impv,3,pl,ISA 41:1,aorist impv
226410,ἐπιστήσομεν,future,active,indc,1,pl,ISA 41:22,future indc
226413,γνωσόμεθα,future,middle,indc,1,pl,ISA 41:22,future indc
226425,γνωσόμεθα,future,middle,indc,1,pl,ISA 41:23,future indc
226434,θαυμασόμεθα,future,middle,indc,1,pl,ISA 41:23,future indc
226475,γνῶμεν,aorist,active,subj,1,pl,ISA 41:26,aorist subj
226504,,,,,,,,
227320,κριθῶμεν,aorist,passsive,subj,1,pl,ISA 43:26,aorist subj
227339,ἔδωκα,aorist,active,indc,1,sg,ISA 43:28,aorist indc
229488,κατοικήσω,future,active,indc,1,sg,ISA 49:20,future indc
229777,ἀντιστήτω,aorist,active,impv,3,sg,ISA 50:8,aorist impv
230288,παρέλθωμεν,aorist,active,subj,1,pl,ISA 51:23,aorist subj
231120,διαθήσομαι,future,middle,indc,1,sg,ISA 55:3,future indc
231539,,,,,,,,
231542,,,,,,,,
232376,ψηλαφήσουσιν,future,active,indc,3,pl,ISA 59:10,future indc
232385,ψηλαφήσουσιν,future,active,indc,3,pl,ISA 59:10,future indc
236519,ἐκοιμήθημεν,aorist,passsive,indc,1,pl,JER 3:25,aorist indc
236647,εἰσέλθωμεν,aorist,active,subj,1,pl,JER 4:5,aorist subj
236886,ἀλγῶ,present,active,indc,1,sg,JER 4:19,present indc
236919,ἀκούων,present,active,ptcp,,sg,JER 4:21,present ptcp
237184,πορεύσομαι,future,middle,indc,1,sg,JER 5:5,future indc
237190,λαλήσω,future,active,indc,1,sg,JER 5:5,future indc
237738,διαφθείρωμεν,present,active,subj,1,pl,JER 6:5,present subj
237809,λαλήσω,future,active,indc,1,sg,JER 6:10,future indc
237811,διαμαρτύρωμαι,present,middle,subj,1,sg,JER 6:10,present subj
238247,κατοικιῶ,future,active,indc,1,sg,JER 7:3,future indc
239264,ἀπορριφῶμεν,aorist,passsive,subj,1,sg,JER 8:14,aorist subj
239416,καταλείψω,future,active,indc,1,sg,JER 9:1,future indc
239420,ἀπελεύσομαι,future,middle,indc,1,sg,JER 9:1,future indc
240747,ἐμβάλωμεν,aorist,active,subj,1,pl,JER 11:19,aorist subj
243355,σωθήσομαι,future,passsive,indc,1,sg,JER 17:14,future indc
243401,καταισχυνθείην,aorist,passsive,optv,1,sg,JER 17:18,aorist optv
243407,πτοηθείην,aorist,passsive,optv,1,sg,JER 17:18,aorist optv
243984,λογισώμεθα,aorist,middle,subj,1,pl,JER 18:18,aorist subj
244010,ἀκουσόμεθα,future,middle,indc,1,pl,JER 18:18,future indc
244786,δυνησόμεθα,future,middle,indc,1,pl,JER 20:10,future indc
244789,λημψόμεθα,future,middle,indc,1,pl,JER 20:10,future indc
250977,ἐπιστρέψω,future,active,indc,1,sg,JER 38:18,future indc
252587,ἀπαγγελῶ,future,active,indc,1,sg,JER 40:3,future indc
257250,πορεύσομαι,future,middle,indc,1,sg,JER 47:15,future indc
259829,ἀπολῶ,future,active,indc,1,sg,JER 26:8,future indc
259984,ἀναστρέψωμεν,aorist,active,subj,1,pl,JER 26:16,aorist subj
261474,,,,,,,,
262684,,,,,,,,
262906,ἀναγγείλωμεν,aorist,active,subj,1,pl,JER 28:10,aorist subj
277429,,,,,,,,
291215,ἀκολουθήσω,future,active,indc,1,sg,HOS 2:7,future indc
291259,πορεύσομαι,future,middle,indc,1,sg,HOS 2:9,future indc
291261,ἐπιστρέψω,future,active,indc,1,sg,HOS 2:9,future indc
292213,ἐπιστρέψω,future,active,indc,1,sg,HOS 5:15,future indc
292229,ἐπιστρέψωμεν,aorist,active,subj,1,pl,HOS 6:1,aorist subj
292255,διώξομεν,future,active,indc,1,pl,HOS 6:3,future indc
293952,ἀνταποδώσομεν,future,active,indc,1,pl,HOS 14:3,future indc
