eng_TAMsimp,qal,hif,piel,nif,hit,hof,pual,hsht,tif,poel,poal,htpo
MOD let ~ VB,-0.65,0.86,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HAB used to ~ PRES PERF,-0.65,-0.14,0.9,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HAB used to ~ PRES,-0.65,-0.14,-0.1,0.93,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may ~ MOD should,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HAB used to ~ MOD would,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may ~ MOD would,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD might ~ PRES PERF,-0.65,-0.14,0.9,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ PRES shall,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD must ~ MOD quest must,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD must ~ PRES PART,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD lest ~ MOD that be,-0.65,-0.14,-0.1,0.93,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
