,,xYq0,WxY0,WXYq,XYqt,xYqX,ZYq0,WYq0,WxYX,ZYqX,WYqX,CPen
MOD can ~ MOD may,p1,0.42,0.0,0.0,0.0,0.0,0.0,1.62,0.0,0.0,0.0,0.0
FUT ~ MOD should,p3,0.42,-0.22,0.8,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD was to ~ PAST,p3,0.42,-0.22,0.0,0.0,1.13,0.0,0.64,0.0,0.0,0.0,0.0
MOD may ~ TO INF,p3,0.0,-0.0,0.0,0.0,0.0,0.0,3.15,0.0,0.0,0.0,0.0
MOD would ~ PRES,p3,0.76,-0.23,0.32,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PERF,p3,0.19,-0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let,p1,0.0,1.29,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to,p3,0.0,-0.23,0.0,1.86,0.48,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PERF,p1,0.76,-0.23,0.0,0.33,0.0,0.0,0.71,0.0,0.0,0.0,0.0
MOD let ~ MOD must,p3,0.19,-0.0,0.32,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0
MOD can ~ MOD may,p2,0.19,0.61,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD let,p3,0.0,-0.23,0.0,0.0,0.0,0.49,0.0,0.0,2.18,1.42,0.0
IMPV ~ PRES PART,p2,0.76,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD must,p3,0.76,-0.23,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD may,p2,1.47,-0.23,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0
MOD may ~ MOD must,p2,0.19,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PROG,p3,0.19,-0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ TO INF,p1,1.47,-0.23,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0
MOD let ~ MOD may,p3,0.0,0.0,0.39,0.4,0.0,0.0,0.0,0.0,0.99,0.0,0.0
IMPV,p3,0.23,0.24,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ PAST,p3,-0.5,0.78,0.39,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD may,p3,-0.5,0.24,2.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ TO INF,p3,0.23,0.0,0.39,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ TO INF,p1,-0.5,0.24,0.39,0.0,0.0,1.51,0.0,0.0,0.0,0.0,0.0
FUT going-to ~ MOD shall,p2,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ MOD shall,p1,0.23,0.24,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0
MOD was to,p3,-0.5,0.24,1.12,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could,p1,1.04,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD must,p3,-0.5,0.0,1.12,0.4,0.0,0.57,0.0,0.0,0.0,0.0,0.0
MOD should,p2,0.23,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ TO INF,p2,-0.5,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PAST,p1,0.0,0.78,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
PRES ~ PRES PROG,p3,0.0,0.0,0.39,0.0,0.56,0.0,0.0,0.0,0.99,0.0,0.0
MOD can ~ PAST,p3,-0.5,0.24,0.39,0.4,0.56,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD shall,p2,0.0,0.78,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD must,p1,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to,p3,-0.0,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?VB ~ PAST,p3,-0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PROG,p2,-0.0,0.0,0.49,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PAST,p2,-0.0,0.33,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.0
PRES PART ~ TO INF,p3,-0.25,1.02,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0
MOD lest ~ PRES,p3,-0.25,1.02,0.0,0.0,0.0,0.0,0.0,1.07,0.0,0.0,0.0
PRES PERF ~ TO INF,p1,-0.25,0.0,0.0,0.0,0.0,0.0,4.12,0.0,0.0,0.0,0.0
PRES PERF,p1,-0.0,0.33,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0
MOD can ~ PRES PART,p3,-0.25,0.0,1.39,0.0,0.0,0.0,0.0,1.07,0.0,0.0,0.0
MOD can ~ TO INF,p3,-0.0,0.33,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD let,p2,0.64,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES PERF,p2,-0.0,0.33,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD VB ~ MOD may,p3,-0.25,0.33,0.49,0.0,0.0,0.0,0.0,0.0,1.11,0.0,0.0
MOD would ~ PRES,p1,0.64,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD should,p2,0.64,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD must,p1,-0.0,0.33,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES,p1,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might,p3,-0.25,0.0,0.0,0.5,1.76,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ TO INF,p2,0.64,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ MOD would,p3,0.64,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.0,0.0,0.0
PAST PERF,p3,-0.25,0.0,1.39,0.0,0.0,0.0,0.0,1.07,0.0,0.0,0.0
FUT ~ IMPV,p3,-0.25,0.0,0.0,1.41,0.0,0.68,0.0,0.0,0.0,0.0,0.0
MOD might ~ MOD should,p3,-0.0,0.0,0.0,0.0,0.66,0.0,0.0,1.07,0.0,0.0,0.0
FUT ~ MOD that be,p3,-0.25,0.33,0.0,0.0,0.0,0.0,0.0,2.59,0.0,0.0,0.0
MOD would ~ TO INF,p1,0.0,0.0,0.64,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PERF,p1,0.28,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ PAST,p3,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.0,1.28,0.0,0.0
MOD could ~ MOD might,p3,0.0,0.0,0.0,0.0,0.82,0.0,0.0,1.24,0.0,0.0,0.0
MOD can ~ TO INF,p1,0.28,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD would,p1,0.28,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD would,p3,0.28,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ PAST,p1,0.0,0.0,0.0,0.0,0.0,0.0,2.74,0.0,0.0,0.0,0.0
MOD must ~ PRES,p2,0.0,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST,p1,0.0,0.46,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0
FUT ~ PAST,p2,0.0,0.46,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PART,p1,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ TO INF,p2,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ MOD should,p2,0.0,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD let,p1,0.28,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ MOD would,p1,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ TO INF,p2,0.0,0.0,0.0,0.0,0.0,2.24,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PAST,p2,0.28,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ TO INF,p3,0.0,0.0,0.64,0.0,0.0,0.0,1.08,0.0,0.0,0.0,0.0
MOD might ~ MOD would,p3,0.28,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD can,p2,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ PRES PART,p2,0.0,0.0,0.0,0.0,0.0,2.24,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES,p1,0.0,0.46,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0
FUT ~ FUT going-to,p2,0.28,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PROG,p1,0.28,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0
PAST ~ TO INF,p1,0.0,0.46,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0
MOD let,p2,0.0,0.46,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES,p1,0.28,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PERF,p3,0.0,0.0,0.0,0.65,0.0,0.83,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD is to,p2,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest,p3,0.0,0.0,0.0,0.0,0.0,0.0,2.74,0.0,0.0,0.0,0.0
MOD let ~ PRES,p2,0.28,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES PART,p3,0.0,0.46,0.0,0.0,0.0,0.0,1.08,0.0,0.0,0.0,0.0
FUT ~ PRES PART,p2,0.28,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD may,p3,0.28,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD lest,p3,0.0,0.46,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PERF,p1,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0
FUT ~ FUT going-to,p3,0.0,0.0,0.0,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD must,p3,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ IMPV,p1,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD need not,p2,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES PERF,p3,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to ~ PRES,p3,0.0,0.0,0.0,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD,p3,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES shall,p3,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT going-to ~ MOD lest,p3,0.0,0.0,0.0,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PAST,p3,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PERF,p3,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JJ ~ PRES,p3,0.0,0.0,0.0,0.0,0.0,0.0,1.37,0.0,0.0,0.0,0.0
FUT PROG ~ MOD shall,p3,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PROG ~ PRES,p3,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD should,p3,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PART,p1,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ FUT going-to,p1,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD lest,p1,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ FUT PROG,p3,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD should,p2,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD is to,p3,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD is to,p3,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT going-to ~ MOD shall,p3,0.0,0.0,0.0,0.0,0.0,0.0,1.37,0.0,0.0,0.0,0.0
MOD let ~ PRES PART,p3,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD VB ~ MOD can,p1,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ MOD was to,p1,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD was to ~ PRES,p2,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
