eng_TAMsimp,person,TOTAL,xYq0,WxY0,WXYq,XYqt,ZYq0,xYqX,WYq0,ZYqX,WxYX,WYqX,CPen
MOD could ~ MOD might,p1,2,0,0,0,0,1,0,1,0,0,0,0
MOD can ~ MOD let,p3,2,0,0,1,1,0,0,0,0,0,0,0
??VB ~ MOD let,p3,2,0,2,0,0,0,0,0,0,0,0,0
MOD let ~ MOD should,p1,2,1,0,0,0,0,1,0,0,0,0,0
MOD is to ~ MOD may,p3,2,1,0,1,0,0,0,0,0,0,0,0
MOD let ~ MOD that be,p3,2,0,0,0,0,0,1,0,0,1,0,0
MOD let ~ PRES,p2,2,1,1,0,0,0,0,0,0,0,0,0
MOD shall ~ MOD should,p2,2,0,2,0,0,0,0,0,0,0,0,0
MOD could ~ MOD might,p3,2,0,0,0,0,0,1,0,0,1,0,0
MOD shall ~ MOD would,p1,2,2,0,0,0,0,0,0,0,0,0,0
MOD let ~ PRES PERF,p3,2,0,0,0,0,1,0,0,1,0,0,0
MOD need not ~ MOD shall,p2,2,0,2,0,0,0,0,0,0,0,0,0
MOD shall ~ PAST,p2,2,1,0,1,0,0,0,0,0,0,0,0
MOD let,p2,2,0,1,0,0,1,0,0,0,0,0,0
MOD may ~ PAST,p3,2,0,0,0,0,0,1,0,0,0,1,0
MOD must ~ PRES,p2,2,0,2,0,0,0,0,0,0,0,0,0
MOD is to ~ PRES PART,p2,2,0,0,0,0,2,0,0,0,0,0,0
MOD lest,p3,2,0,0,0,0,0,0,2,0,0,0,0
MOD might ~ PAST,p3,2,0,0,0,0,0,0,1,1,0,0,0
MOD could ~ MOD would,p3,2,1,0,0,1,0,0,0,0,0,0,0
MOD might ~ PAST,p1,2,0,0,0,0,0,0,2,0,0,0,0
MOD might ~ MOD would,p3,2,1,0,1,0,0,0,0,0,0,0,0
FUT PERF,p3,1,0,1,0,0,0,0,0,0,0,0,0
PRES PART ~ PRES PERF,p1,1,0,1,0,0,0,0,0,0,0,0,0
MOD may ~ MOD shall,p1,1,0,0,0,0,0,1,0,0,0,0,0
MOD must ~ PRES PROG,p2,1,0,0,0,0,0,0,1,0,0,0,0
MOD may ~ MOD might,p3,1,0,0,0,1,0,0,0,0,0,0,0
PRES PART ~ TO INF,p2,1,0,1,0,0,0,0,0,0,0,0,0
PRES PART ~ PRES PERF,p3,1,1,0,0,0,0,0,0,0,0,0,0
