eng_TAMsimp,person,xYq0,WxY0,WXYq,XYqt,xYqX,ZYq0,WYq0,WxYX,ZYqX,WYqX,CPen
MOD shall ~ TO INF,p3,7.0,3.5,7.0,4.67,inf,inf,14.0,14.0,inf,14.0,inf
PRES PERF,p3,inf,7.0,14.0,14.0,2.0,14.0,14.0,14.0,inf,inf,inf
PAST ~ PRES,p1,2.33,7.0,inf,inf,inf,7.0,3.5,inf,inf,inf,inf
PAST ~ PRES,p2,2.33,7.0,inf,inf,inf,2.33,inf,inf,inf,inf,inf
MOD may ~ MOD shall,p2,1.75,3.5,14.0,inf,inf,inf,inf,14.0,inf,inf,inf
FUT ~ IMPV,p2,4.67,2.8,14.0,14.0,inf,4.67,14.0,inf,inf,inf,inf
MOD shall ~ PRES,p1,3.25,3.25,6.5,6.5,inf,13.0,inf,inf,inf,inf,inf
MOD should ~ PRES,p2,2.17,3.25,13.0,inf,13.0,inf,13.0,inf,inf,inf,inf
MOD must,p3,3.25,4.33,13.0,13.0,13.0,13.0,13.0,inf,13.0,inf,inf
MOD can ~ MOD may,p3,3.25,3.25,6.5,6.5,13.0,inf,inf,inf,inf,inf,inf
MOD let ~ MOD shall,p3,4.33,6.5,6.5,13.0,6.5,13.0,inf,13.0,13.0,inf,inf
FUT ~ TO INF,p3,13.0,4.33,inf,6.5,4.33,6.5,6.5,inf,inf,inf,inf
FUT ~ MOD would,p3,2.6,inf,6.5,4.33,6.5,inf,inf,13.0,inf,inf,inf
PRES PART,p2,1.71,4.0,inf,inf,inf,6.0,inf,inf,inf,inf,inf
MOD can ~ PRES,p2,1.5,4.0,inf,inf,inf,12.0,inf,inf,inf,inf,inf
FUT ~ MOD may,p1,inf,3.67,11.0,inf,inf,3.67,3.67,inf,inf,11.0,inf
MOD shall ~ MOD should,p1,1.1,11.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PRES,p3,11.0,11.0,inf,11.0,11.0,3.67,11.0,inf,5.5,11.0,inf
PAST ~ PRES PERF,p3,5.5,inf,inf,11.0,3.67,inf,inf,11.0,2.75,inf,inf
IMPV ~ MOD may,p2,2.2,2.2,inf,inf,inf,inf,11.0,inf,inf,inf,inf
PRES ~ TO INF,p3,5.5,3.67,11.0,inf,inf,3.67,5.5,inf,inf,inf,inf
MOD must,p2,2.0,3.33,10.0,10.0,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD must,p2,1.67,5.0,10.0,inf,inf,inf,inf,inf,10.0,inf,inf
PRES PERF,p2,2.0,3.33,inf,inf,inf,5.0,inf,inf,inf,inf,inf
PRES ~ PRES PART,p2,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ TO INF,p2,2.5,3.33,inf,3.33,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD would,p1,2.25,4.5,9.0,9.0,inf,inf,9.0,inf,inf,inf,inf
FUT ~ PAST,p3,4.5,9.0,3.0,9.0,9.0,inf,inf,inf,inf,9.0,inf
FUT ~ PRES PART,p3,1.8,4.5,inf,inf,9.0,inf,inf,inf,inf,9.0,inf
TO INF,p2,4.5,2.25,9.0,inf,inf,4.5,inf,inf,inf,inf,inf
HAB used to ~ PAST,p3,4.5,4.5,inf,9.0,3.0,inf,inf,9.0,inf,inf,inf
IMPV ~ MOD can,p3,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PRES,p3,9.0,3.0,4.5,4.5,inf,9.0,inf,inf,inf,inf,inf
FUT ~ MOD would,p2,1.5,9.0,inf,inf,inf,4.5,inf,inf,inf,inf,inf
MOD should ~ PRES,p3,9.0,9.0,inf,3.0,2.25,inf,inf,inf,inf,inf,inf
MOD may,p1,8.0,2.67,inf,inf,inf,inf,2.67,8.0,inf,inf,inf
FUT ~ MOD can,p1,2.0,2.67,8.0,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES PERF,p2,8.0,8.0,inf,inf,inf,1.33,inf,inf,inf,inf,inf
FUT ~ MOD can,p2,2.0,2.67,inf,inf,inf,inf,8.0,inf,inf,inf,inf
MOD shall ~ PAST,p3,4.0,inf,4.0,8.0,4.0,inf,inf,8.0,inf,inf,inf
MOD would ~ PRES,p2,2.67,8.0,inf,8.0,inf,8.0,8.0,inf,8.0,inf,inf
MOD shall ~ MOD should,p3,8.0,4.0,inf,4.0,2.67,inf,inf,inf,inf,inf,inf
MOD can ~ PRES,p1,2.33,2.33,inf,inf,7.0,inf,inf,inf,inf,inf,inf
FUT ~ MOD lest,p2,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD let,p1,3.5,3.5,7.0,inf,inf,7.0,inf,inf,7.0,inf,inf
MOD should ~ PRES,p1,2.33,7.0,7.0,inf,inf,inf,3.5,inf,inf,inf,inf
PAST ~ PRES PERF,p1,3.5,7.0,inf,inf,inf,7.0,2.33,inf,inf,inf,inf
MOD should ~ MOD would,p3,7.0,inf,inf,2.33,inf,inf,7.0,7.0,7.0,inf,inf
MOD must,p1,1.17,inf,inf,inf,inf,inf,7.0,inf,inf,inf,inf
IMPV ~ MOD let,p3,3.5,inf,7.0,3.5,inf,7.0,inf,inf,7.0,inf,inf
MOD must ~ PRES,p3,6.0,6.0,inf,3.0,inf,inf,inf,3.0,inf,inf,inf
MOD can ~ MOD may,p1,2.0,6.0,inf,inf,inf,inf,3.0,inf,inf,inf,inf
FUT ~ MOD should,p3,2.0,inf,3.0,6.0,inf,inf,inf,inf,inf,inf,inf
MOD was to ~ PAST,p3,2.0,inf,inf,inf,3.0,inf,6.0,inf,inf,inf,inf
MOD may ~ TO INF,p3,5.0,5.0,inf,inf,inf,inf,1.67,inf,inf,inf,inf
MOD would ~ PRES,p3,1.67,inf,5.0,5.0,inf,inf,inf,inf,inf,inf,inf
PAST ~ PAST PERF,p3,2.5,5.0,2.5,inf,inf,inf,inf,inf,inf,inf,inf
MOD let,p1,5.0,1.67,inf,5.0,inf,inf,inf,inf,inf,inf,inf
MOD is to,p3,5.0,inf,inf,1.67,5.0,inf,inf,inf,inf,inf,inf
PRES ~ PRES PERF,p1,1.67,inf,inf,5.0,inf,inf,5.0,inf,inf,inf,inf
MOD let ~ MOD must,p3,2.5,5.0,5.0,inf,inf,inf,inf,5.0,inf,inf,inf
MOD can ~ MOD may,p2,2.5,2.5,5.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD let,p3,5.0,inf,inf,inf,inf,5.0,inf,inf,2.5,5.0,inf
IMPV ~ PRES PART,p2,1.67,2.5,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD must,p3,1.67,inf,2.5,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD may,p2,1.25,inf,inf,inf,inf,inf,inf,5.0,inf,inf,inf
MOD may ~ MOD must,p2,2.5,1.67,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PAST PROG,p3,2.5,5.0,2.5,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ TO INF,p1,1.25,inf,inf,inf,inf,inf,5.0,inf,inf,inf,inf
MOD let ~ MOD may,p3,4.0,inf,4.0,4.0,inf,inf,inf,inf,4.0,inf,inf
IMPV,p3,2.0,4.0,inf,4.0,inf,inf,inf,inf,inf,inf,inf
MOD could ~ PAST,p3,inf,2.0,4.0,inf,4.0,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD may,p3,inf,4.0,1.33,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ TO INF,p3,2.0,inf,4.0,inf,4.0,inf,inf,inf,inf,inf,inf
FUT ~ TO INF,p1,inf,4.0,4.0,inf,inf,2.0,inf,inf,inf,inf,inf
FUT going-to ~ MOD shall,p2,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ MOD shall,p1,2.0,4.0,inf,inf,inf,4.0,inf,inf,inf,inf,inf
MOD was to,p3,inf,4.0,2.0,4.0,inf,inf,inf,inf,inf,inf,inf
MOD could,p1,1.33,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD must,p3,inf,inf,2.0,4.0,inf,4.0,inf,inf,inf,inf,inf
MOD should,p2,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ TO INF,p2,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PAST,p1,4.0,2.0,inf,inf,inf,inf,4.0,inf,inf,inf,inf
PRES ~ PRES PROG,p3,4.0,inf,4.0,inf,4.0,inf,inf,inf,4.0,inf,inf
MOD can ~ PAST,p3,inf,4.0,4.0,4.0,4.0,inf,inf,inf,inf,inf,inf
MOD can ~ MOD shall,p2,4.0,2.0,4.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD must,p1,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
HAB used to,p3,3.0,inf,1.5,inf,inf,inf,inf,inf,inf,inf,inf
?VB ~ PAST,p3,3.0,1.5,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PROG,p2,3.0,inf,3.0,3.0,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PAST,p2,3.0,3.0,inf,inf,inf,inf,3.0,inf,inf,inf,inf
PRES PART ~ TO INF,p3,inf,1.5,inf,inf,inf,3.0,inf,inf,inf,inf,inf
MOD lest ~ PRES,p3,inf,1.5,inf,inf,inf,inf,inf,3.0,inf,inf,inf
PRES PERF ~ TO INF,p1,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf
PRES PERF,p1,3.0,3.0,inf,inf,inf,3.0,inf,inf,inf,inf,inf
MOD can ~ PRES PART,p3,inf,inf,1.5,inf,inf,inf,inf,3.0,inf,inf,inf
MOD can ~ TO INF,p3,3.0,3.0,inf,3.0,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD let,p2,1.5,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ PRES PERF,p2,3.0,3.0,3.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD VB ~ MOD may,p3,inf,3.0,3.0,inf,inf,inf,inf,inf,3.0,inf,inf
MOD would ~ PRES,p1,1.5,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
