,prophetic,poetry,prose,instruction,list
MOD VB ~ TO INF,0.0,0.55,0.0,0.0,0.0
MOD VB ~ MOD shall,0.53,0.0,0.0,0.0,0.0
MOD let ~ MOD that be,0.0,0.55,0.0,0.0,0.0
MOD VB ~ MOD can,0.0,0.55,0.0,0.0,0.0
JJ ~ PRES,0.0,0.55,0.0,0.0,0.0
IMPV ~ PRES PERF,0.53,0.0,0.0,0.0,0.0
MOD quest must ~ MOD shall,0.0,0.0,0.58,0.0,0.0
IMPV ~ MOD need not,0.0,0.0,0.0,0.81,0.0
MOD should ~ PRES PART,0.0,0.0,0.58,0.0,0.0
MOD that be,0.53,0.0,0.0,0.0,0.0
MOD quest must,0.53,0.0,0.0,0.0,0.0
