eng_TAM,cl_args_simp,qtl,Ø,wayq,yqtl,impv,wqtl,infc,ptcp,infa
PRES..IND,_<QB/_V,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ,_KJ_OV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,QOV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ,_LW_V,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PAST..SUBJ,_W_OV,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,OSV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,IOV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..MOD,QV,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PAST.PERF.IND,_LWL>_V,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_K_V,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PAST.PERF.IND,_J<N/_OV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_<D_V,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_<L_OV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_>LW_V,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,__V,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_ZWLH/_OV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_PN_V,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,RSV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PROG.IND,_<D_V,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_>M_SV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_KJ__>M_OV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,__V,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_LWL>_SV,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PAST..IND,_LW_V,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_>W_V,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PRES..IND,_W_QV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_W__KJ_OV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_W_QSV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_W__>M_V,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_>R_SV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_>M_SV,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,_W_RV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PRES.PERF.IND,_<D_V,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PRES..IND,_W__>M_SV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_<D_SV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,QSV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
