bhsa_node,lxx,lxx_tense,lxx_voice,lxx_mood,lxx_person,lxx_number,lxx_tm
5307,ἔζησεν,aorist,active,indc,3,sg,aorist indc
5312,ἐγέννησεν,aorist,active,indc,3,sg,aorist indc
5316,ἔζησεν,aorist,active,indc,3,sg,aorist indc
5325,ἐγέννησεν,aorist,active,indc,3,sg,aorist indc
5330,ἔζησεν,aorist,active,indc,3,sg,aorist indc
5337,ἐγέννησεν,aorist,active,indc,3,sg,aorist indc
5341,ἔζησεν,aorist,active,indc,3,sg,aorist indc
5354,ἐγέννησεν,aorist,active,indc,3,sg,aorist indc
5359,ἔζησεν,aorist,active,indc,3,sg,aorist indc
5364,ἐγέννησεν,aorist,active,indc,3,sg,aorist indc
5391,ἀπέθανεν,aorist,active,indc,3,sg,aorist indc
5404,ἔλαβον,aorist,active,indc,3,pl,aorist indc
5427,ἦν,imperfect,active,indc,3,sg,imperfect indc
5434,ἔλαβεν,aorist,active,indc,3,sg,aorist indc
5454,ἐξήγαγεν,aorist,active,indc,3,sg,aorist indc
5464,ἦλθεν,aorist,active,indc,3,sg,aorist indc
5468,κατῴκησεν,aorist,active,indc,3,sg,aorist indc
5471,ἐγένοντο,aorist,middle,indc,3,pl,aorist indc
5480,ἀπέθανεν,aorist,active,indc,3,sg,aorist indc
5485,εἶπεν,aorist,active,indc,3,sg,aorist indc
5532,ᾤχετο,imperfect,middle,indc,3,sg,imperfect indc
5540,ᾤχετο,imperfect,middle,indc,3,sg,imperfect indc
5556,ἔλαβεν,aorist,active,indc,3,sg,aorist indc
5581,ἐξήλθοσαν,aorist,active,indc,3,pl,aorist indc
5587,ἦλθον,aorist,active,indc,3,pl,aorist indc
5591,διώδευσεν,aorist,active,indc,3,sg,aorist indc
5610,ὤφθη,aorist,passsive,indc,3,sg,aorist indc
5615,εἶπεν,aorist,active,indc,3,sg,aorist indc
5625,ᾠκοδόμησεν,aorist,active,indc,3,sg,aorist indc
5634,ἀπέστη,aorist,active,indc,3,sg,aorist indc
5644,ἔστησεν,aorist,active,indc,3,sg,aorist indc
5655,ᾠκοδόμησεν,aorist,active,indc,3,sg,aorist indc
5661,ἐπεκαλέσατο,aorist,middle,indc,3,sg,aorist indc
5666,ἀπῆρεν,aorist,active,indc,3,sg,aorist indc
5674,ἐγένετο,aorist,middle,indc,3,sg,aorist indc
5680,κατέβη,aorist,active,indc,3,sg,aorist indc
5694,ἐγένετο,aorist,middle,indc,3,sg,aorist indc
5702,εἶπεν,aorist,active,indc,3,sg,aorist indc
5746,ἐγένετο,aorist,middle,indc,3,sg,aorist indc
5752,ἰδόντες,aorist,active,ptcp,,pl,aorist ptcp
5763,εἶδον,aorist,active,indc,3,pl,aorist indc
5768,ἐπῄνεσαν,aorist,active,indc,3,pl,aorist indc
5773,εἰσήγαγον,aorist,active,indc,3,pl,aorist indc
5785,ἐγένοντο,aorist,middle,indc,3,pl,aorist indc
