eng_TAM,cl_args,qtl,Ø,wayq,yqtl,impv,wqtl,infc,ptcp,infa
PAST..IND,IAV,0.0,0.33,0.33,0.0,0.33,0.0,0.0,0.0,0.0
PAST.PERF.IND,_>XR/_V,0.33,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_W_ASV,0.33,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_>W_QV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_>M_SV,0.33,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0
PAST.PERF.IND,QSV,0.33,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_W__>CR_V,0.67,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,AOV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_W_IV,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,OAV,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
PAST..IND,_KJ_VSV,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,_KJ_OV,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
PAST.PERF.IND,QOV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT.PERF.IND,_W_SOV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,RSV,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
PAST..IND,QSV,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_W_ASV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_KJ__>M_V,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_LWL>_SV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_KJ__LWL>_V,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
PAST..SUBJ,_W_SV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,AOV,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,IOV,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,_W_IV,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
past.PERF_PROG.IND,RV,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..MOD,_KJ_SV,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,IOV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_W__>CR_V,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
PRES.PERF.IND,_W_SOV,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
PRES..IND,_<D_V,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
PRES..IND,_>M_SV,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
PRES..IND,_KJ_ASV,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
PRES.PERF.IND,_J<N/_OV,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_>M_OV,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
PRES..IND,_W_AOV,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_>CR__>M_V,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,_W_ASV,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
PRES..IND,_W_IV,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
PRES..IND,_W__>M_AV,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,VV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..MOD,AV,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..MOD,RV,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
PRES..MOD,_KJ_V,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
