period,SBH,SBH,LBH,SBH,SBH,SBH,SBH,SBH,SBH,SBH,LBH,LBH,SBH,SBH,SBH,LBH,LBH,LBH,LBH,LBH
genre,prose,instruction,prose,instruction,prose,list,instruction,prose,poetry,list,prose,poetry,instruction,prose,prophetic,list,prose,list,prose,list
domain2,Q,Q,Q,D,N,N,?,D,Q,Q,N,Q,N,?,Q,Q,?,N,D,?
eng_TAMsimp,,,,,,,,,,,,,,,,,,,,
MOD let ~ PRES,0.08,0.11,-0.06,-0.03,-0.03,-0.02,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ PRES,0.08,0.11,-0.06,-0.03,-0.03,-0.02,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD lest ~ MOD must,0.58,-0.39,-0.06,-0.03,-0.03,-0.02,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would ~ PRES PART,-0.42,-0.39,-0.06,-0.03,-0.03,-0.02,-0.02,0.99,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD could ~ MOD may,0.58,-0.39,-0.06,-0.03,-0.03,-0.02,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD lest ~ PRES PART,0.58,-0.39,-0.06,-0.03,-0.03,-0.02,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ MOD let,0.08,0.11,-0.06,-0.03,-0.03,-0.02,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ PRES PART,-0.42,-0.39,0.94,-0.03,-0.03,-0.02,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ PRES PART,-0.42,0.61,-0.06,-0.03,-0.03,-0.02,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ FUT PROG,-0.42,0.61,-0.06,-0.03,-0.03,-0.02,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
