clause_rela,prec_part,sum
Main,_MN_>LH_,1
Main,_MN_>L_,1
Main,_LMH_MN_,1
SubArg,_K_>CR_,1
Main,_LM<N_W_,1
SubAdv,_W_>M_JY>[_,1
Main,_L_MTJ_,1
Main,_L_MN_,1
SubAdv,_BLJ/_,1
SubAdv,_BLT/_,1
Main,_L_L_L_,1
SubArg,_>J_ZH_,1
Main,_L_HW>_,1
SubAdv,_B_W_,1
Main,_L_>LH_,1
SubAdv,_C_LMH_,1
SubArg,_KJ_VRM/_,1
Main,_LW_CQL[_,1
SubAdv,_GM_B_,1
Main,_MN_W_MN_MWT[_,1
SubAdv,_>M_W_W_,1
SubAdv,_BL<DJ_,1
SubAdv,_W_>M_HJH[_,1
Main,_LMH_ZH_HBL/_,1
SubArg,_LMH_,1
SubAdv,_GM_MN_,1
Main,_LKN_CB</_,1
Main,_LKN_B_Z>T_,1
Main,_LKN_B_HJ>_,1
Main,_LKN_B_,1
Main,_LKN_<WD/_,1
Main,_W_W_L_W_L_,1
Main,_L_W_L_W_L_B_,1
Main,_K_ZH_,1
Main,_K_ZH=_W_K_ZH_,1
Main,_K_W_W_,1
Main,_K_W_K_L_,1
Main,_LMH_L_,1
SubAdv,_K_C_,1
Main,_W_CBR[_,1
Main,_H=_XPY[_,1
Main,_W_CWB[_,1
Main,_K_>L_,1
SubAdv,_KJ_<M_,1
SubAdv,_KJ_<TH_L_,1
Main,_KSM[_,1
Main,_KRT[_,1
Main,_KN_XNM_L_,1
SubAdv,_KJ_<TH_MN_,1
Main,_JVB[_,1
SubAdv,_KJ_>M_<FH[_,1
SubAdv,_W_>M_PRX[_,1
SubAdv,_KJ_>M_L_W_L_W_L_W_L_L_W_L_,1
Main,_HLK[_W_VPP[_,1
SubAdv,_KJ_>M_MN_,1
Main,_HJK_,1
Main,_HJH[_,1
Main,_H=_ZH_,1
Main,_K_>LH_,1
Main,_K_>T_W_>T_W_>T_,1
Main,_H=_XNP[_,1
Main,_K_>W_K_,1
SubAdv,_KJ_>LH_>L_W_>L_,1
Main,_JXD/_W_,1
SubAdv,_KMW_,1
SubAdv,_KJ_>L_W_>L_,1
Main,_JWMM_W_LJLH/_,1
SubAdv,_KJ_ZKR[_,1
Main,_KLJL/_,1
SubAdv,_KJ_>JKKH_,1
Main,_KMW_KMW_,1
Main,_KMW_W_,1
Main,_K_L_,1
SubAdv,_KJ_<D_,1
Main,_K_KKH_,1
SubArg,_<M_>CR_,1
Main,_K_BDD/_,1
Main,_H=_Z>T_,1
Main,_JBC[_,1
Main,_JSR[_,1
SubAdv,_KJ_>M_CMR[_,1
Main,_HN_<L_,1
SubAdv,_KJ_>M_JVB[_,1
Main,_HNH_Z>T_,1
SubAdv,_KJ_>M_KH_,1
Main,_HNH_N>_K_,1
Main,_HNH_MN_,1
Main,_H=_VRM/_,1
SubAdv,_KJ_CWB[_,1
Main,_C>L[_,1
SubMod,_MN_>CR_,1
Main,_>K_B_L_,1
SubAdv,_W_TXT/_,1
Main,_>K_>W_>W_,1
SubAdv,_KJ_MJ_B_,1
Main,_>K_>T_W_>T_>T_>T_>T_W_>T_,1
