eng_TAMsimp,wayq,qtl,Ø,ptcp,yqtl,wqtl,infc,impv,cohoT,jussM,infa,cohoM
PRES PERF ~ PRES PROG,0.19,-0.12,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?PAST ~ IMPV,0.19,-0.12,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?VB ~ PRES,-0.81,0.38,-0.04,-0.01,0.49,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?VB ~ PRES PERF,-0.81,0.88,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT,-0.31,0.38,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?PRES ~ ?PRES PERF,-0.31,0.38,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?PRES ~ PRES PERF,-0.81,0.38,-0.04,0.49,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?FUT ~ PAST,0.19,-0.12,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?PRES PERF,-0.81,0.88,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ PRES,-0.81,-0.12,0.96,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
??VB ~ ?PAST question,-0.81,0.38,0.46,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may ~ PAST,0.19,-0.12,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?PRES ~ PRES PART,-0.81,0.38,-0.04,-0.01,0.49,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?PAST wh-question,-0.81,0.88,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?PAST wh-question ~ ?PRES,0.19,-0.12,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?PAST question,-0.81,0.88,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?PAST do-support ~ PAST,0.19,-0.12,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?PAST wh-question ~ MOD let,-0.81,0.88,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?PAST did not ~ TO INF,-0.81,0.88,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?PAST wh-question ~ PAST,-0.81,0.88,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?PAST wh-question ~ TO INF,-0.81,0.88,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?PAST ~ ?TO INF,0.19,-0.12,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?MOD would ~ PAST,0.19,-0.12,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?PAST did not ~ ?PAST question,-0.81,0.88,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
