genre,prophetic,poetry,prose,instruction,prose,prose,prophetic,instruction,prophetic,poetry,poetry,poetry,prose,prophetic,prophetic,instruction,poetry,instruction,instruction,instruction,prose,list,list,prophetic,list,prophetic,prose,list,list,prophetic,prose,list,prose,instruction,prophetic,instruction
PAST PERF,-0.17,-0.16,-0.11,-0.08,-0.08,-0.06,-0.05,-0.05,-0.05,-0.04,0.1,-0.02,0.84,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD must,-0.03,0.27,-0.11,-0.08,-0.08,0.23,0.09,-0.05,-0.05,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should ~ MOD was to,-0.17,0.13,-0.11,-0.08,0.07,0.09,-0.05,-0.05,-0.05,-0.04,-0.04,-0.02,0.27,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,0.14,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD might ~ MOD would,-0.01,0.34,-0.11,-0.08,-0.08,-0.06,-0.05,-0.05,0.12,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,0.16,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD could ~ PAST,-0.17,0.51,-0.11,-0.08,-0.08,0.11,-0.05,-0.05,-0.05,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,0.16,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ PRES PERF,0.16,0.01,-0.11,-0.08,-0.08,0.44,-0.05,-0.05,-0.05,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PAST PROG,-0.17,-0.16,-0.11,-0.08,-0.08,-0.06,-0.05,-0.05,-0.05,0.12,-0.04,-0.02,0.48,0.16,0.16,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT going-to ~ MOD shall,-0.01,-0.16,-0.11,-0.08,0.76,-0.06,-0.05,-0.05,-0.05,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD lest ~ MOD might,-0.01,-0.16,0.06,0.08,-0.08,0.44,-0.05,-0.05,-0.05,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ MOD would,-0.17,0.01,0.22,0.08,-0.08,-0.06,-0.05,-0.05,-0.05,-0.04,0.29,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ MOD must,-0.17,-0.16,0.39,0.25,0.09,-0.06,-0.05,-0.05,-0.05,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PART ~ TO INF,-0.01,0.17,-0.11,0.08,-0.08,-0.06,-0.05,0.12,-0.05,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,0.16,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ MOD may,-0.17,-0.16,0.06,0.42,0.09,-0.06,-0.05,-0.05,-0.05,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,0.16,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD could ~ MOD would,0.49,-0.16,-0.11,-0.08,-0.08,0.28,-0.05,-0.05,-0.05,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ FUT going-to,-0.17,-0.16,0.09,-0.08,0.32,0.34,-0.05,-0.05,-0.05,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD VB ~ MOD may,0.23,0.04,-0.11,0.12,-0.08,-0.06,-0.05,-0.05,-0.05,-0.04,-0.04,0.18,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ PRES PART,-0.17,0.24,0.09,-0.08,-0.08,-0.06,-0.05,-0.05,0.15,0.16,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ MOD must,-0.17,-0.16,0.29,-0.08,-0.08,0.34,-0.05,-0.05,0.15,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ TO INF,0.03,0.04,0.09,-0.08,-0.08,-0.06,-0.05,-0.05,-0.05,-0.04,0.36,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ PRES PART,-0.17,-0.16,-0.11,-0.08,0.52,-0.06,-0.05,0.15,0.15,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD lest ~ TO INF,-0.17,-0.16,0.09,0.12,0.52,-0.06,-0.05,-0.05,-0.05,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD might ~ TO INF,0.23,-0.16,-0.11,-0.08,-0.08,-0.06,-0.05,-0.05,-0.05,-0.04,0.36,-0.02,0.18,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may ~ PRES PART,0.03,-0.16,0.09,-0.08,-0.08,0.14,0.15,-0.05,-0.05,-0.04,-0.04,-0.02,-0.02,-0.01,0.19,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would ~ TO INF,-0.17,0.04,-0.11,-0.08,-0.08,-0.06,0.15,-0.05,-0.05,0.16,0.16,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,0.2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD might ~ PAST,0.03,0.04,-0.11,-0.08,-0.08,-0.06,0.35,-0.05,-0.05,-0.04,0.16,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD might ~ MOD should,-0.17,-0.16,0.29,-0.08,-0.08,-0.06,-0.05,-0.05,-0.05,-0.04,0.36,-0.02,0.18,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD was to,-0.17,0.04,-0.11,-0.08,-0.08,-0.06,-0.05,-0.05,-0.05,-0.04,-0.04,-0.02,0.58,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,0.2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?VB ~ PAST,-0.17,0.09,0.39,-0.08,-0.08,-0.06,-0.05,-0.05,-0.05,-0.04,0.21,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ TO INF,-0.17,-0.16,-0.11,-0.08,-0.08,-0.06,-0.05,0.45,0.2,0.21,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PERF ~ TO INF,0.08,-0.16,-0.11,-0.08,-0.08,-0.06,0.7,-0.05,-0.05,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD could ~ MOD might,-0.17,-0.16,0.39,-0.08,-0.08,-0.06,-0.05,-0.05,-0.05,-0.04,-0.04,-0.02,0.48,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ PAST,0.58,-0.16,0.14,-0.08,-0.08,-0.06,-0.05,-0.05,-0.05,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD is to,0.08,-0.16,0.39,-0.08,0.17,-0.06,-0.05,-0.05,-0.05,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD VB ~ PRES,-0.17,0.84,-0.11,-0.08,-0.08,-0.06,-0.05,-0.05,-0.05,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PERF ~ PRES,-0.17,-0.16,0.14,-0.08,-0.08,-0.06,0.2,-0.05,-0.05,0.21,-0.04,-0.02,0.23,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ PAST,0.08,-0.16,-0.11,-0.08,-0.08,-0.06,-0.05,-0.05,0.45,0.21,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should ~ PAST,0.08,0.09,0.14,-0.08,-0.08,-0.06,-0.05,-0.05,-0.05,0.21,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HAB used to,-0.17,-0.16,0.14,-0.08,-0.08,-0.06,-0.05,-0.05,-0.05,-0.04,-0.04,-0.02,0.48,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,0.25,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD lest,0.33,-0.16,0.14,-0.08,-0.08,-0.06,-0.05,-0.05,-0.05,0.21,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ MOD may,0.08,0.09,0.14,0.17,-0.08,-0.06,-0.05,-0.05,-0.05,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ PRES PROG,-0.17,-0.16,-0.11,-0.08,-0.08,0.61,0.28,-0.05,-0.05,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ PRES PERF,-0.17,-0.16,-0.11,-0.08,0.92,-0.06,-0.05,-0.05,-0.05,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would ~ PRES PART,0.16,-0.16,-0.11,-0.08,0.26,-0.06,-0.05,-0.05,-0.05,-0.04,0.29,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD that be,-0.17,-0.16,0.56,0.25,-0.08,-0.06,-0.05,-0.05,-0.05,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ MOD let,-0.17,-0.16,0.22,-0.08,-0.08,0.61,-0.05,-0.05,-0.05,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PROG,-0.17,-0.16,-0.11,-0.08,-0.08,-0.06,-0.05,-0.05,-0.05,-0.04,-0.04,-0.02,0.98,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ MOD might,-0.17,-0.16,-0.11,-0.08,0.92,-0.06,-0.05,-0.05,-0.05,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD lest ~ MOD would,-0.17,-0.16,-0.11,0.25,-0.08,0.28,-0.05,-0.05,-0.05,-0.04,-0.04,-0.02,0.32,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD could ~ MOD must,-0.17,-0.16,-0.11,-0.08,-0.08,-0.06,-0.05,-0.05,-0.05,-0.04,0.96,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD could ~ MOD should,-0.17,-0.16,0.56,-0.08,-0.08,-0.06,-0.05,-0.05,0.29,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD is to,-0.17,-0.16,0.22,-0.08,0.59,-0.06,-0.05,-0.05,-0.05,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PART ~ PRES PERF,-0.17,0.17,-0.11,-0.08,-0.08,-0.06,-0.05,-0.05,0.29,-0.04,0.29,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may ~ MOD might,0.16,0.17,-0.11,-0.08,0.26,-0.06,-0.05,-0.05,-0.05,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT PROG ~ PRES,-0.17,-0.16,-0.11,-0.08,-0.08,-0.06,-0.05,0.62,-0.05,-0.04,-0.04,0.31,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ PRES PART,-0.17,0.17,-0.11,-0.08,0.59,-0.06,-0.05,-0.05,-0.05,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES ~ PRES do,-0.17,0.34,-0.11,-0.08,-0.08,-0.06,-0.05,-0.05,-0.05,-0.04,0.46,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may ~ PAST,-0.17,0.34,0.39,-0.08,-0.08,-0.06,-0.05,-0.05,-0.05,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD lest ~ MOD should,-0.17,0.84,-0.11,-0.08,-0.08,-0.06,-0.05,-0.05,-0.05,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should ~ PRES PERF,-0.17,-0.16,-0.11,-0.08,0.42,-0.06,-0.05,-0.05,0.45,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD lest ~ MOD shall,-0.17,-0.16,-0.11,-0.08,-0.08,0.44,0.45,-0.05,-0.05,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD should,0.33,-0.16,-0.11,-0.08,-0.08,-0.06,-0.05,-0.05,0.45,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ TO INF,-0.17,0.34,-0.11,-0.08,-0.08,0.44,-0.05,-0.05,-0.05,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ PAST,-0.17,0.34,-0.11,-0.08,-0.08,-0.06,-0.05,0.45,-0.05,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD need not ~ PRES,0.33,-0.16,-0.11,0.42,-0.08,-0.06,-0.05,-0.05,-0.05,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD need not ~ MOD shall,-0.17,-0.16,0.39,-0.08,-0.08,-0.06,-0.05,-0.05,-0.05,0.46,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ TO INF,-0.17,-0.16,0.89,-0.08,-0.08,-0.06,-0.05,-0.05,-0.05,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ MOD must,-0.17,-0.16,-0.11,-0.08,0.42,-0.06,-0.05,-0.05,-0.05,-0.04,0.46,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PROG ~ PRES,-0.17,0.34,-0.11,-0.08,-0.08,-0.06,-0.05,-0.05,0.45,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD could ~ TO INF,-0.17,-0.16,-0.11,-0.08,-0.08,-0.06,-0.05,-0.05,-0.05,-0.04,0.46,-0.02,0.48,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may ~ PRES PERF,-0.17,0.34,-0.11,0.42,-0.08,-0.06,-0.05,-0.05,-0.05,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PROG,0.33,-0.16,0.39,-0.08,-0.08,-0.06,-0.05,-0.05,-0.05,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD must ~ MOD should,-0.17,-0.16,-0.11,-0.08,-0.08,-0.06,-0.05,-0.05,-0.05,-0.04,0.46,-0.02,0.48,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES ~ PRES can,-0.17,-0.16,0.89,-0.08,-0.08,-0.06,-0.05,-0.05,-0.05,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
