bhsa_node,esv_tags,esv_VBtags,esv_tense,esv_aspect,esv_modality,esv_TAM,esv_TAMtag,niv_tags,niv_VBtags,niv_tense,niv_aspect,niv_modality,niv_TAM,niv_TAMtag,eng_fullparse,eng_TAM,eng_agree
332664,PRP|VBD,VBD,PAST,,IND,PAST..IND,PAST,PRP|VBP|IN,VBP,PRES,,IND,PRES..IND,PRES,True,PAST..IND ~ PRES..IND,False
332694,PRP|VBP,VBP,PRES,,IND,PRES..IND,PRES,PRP|VBP,VBP,PRES,,IND,PRES..IND,PRES,True,PRES..IND,True
332696,PRP|VBP,VBP,PRES,,IND,PRES..IND,PRES,PRP|VBP,VBP,PRES,,IND,PRES..IND,PRES,True,PRES..IND,True
332701,VBP|VBN|NN,VBP|VBN,PRES,PERF,IND,PRES.PERF.IND,PRES PERF,VBP|VBN,VBP|VBN,PRES,PERF,IND,PRES.PERF.IND,PRES PERF,True,PRES.PERF.IND,True
332794,PRP|VBD|JJ,VBD,PAST,,IND,PAST..IND,PAST,PRP|VBD,VBD,PAST,,IND,PAST..IND,PAST,True,PAST..IND,True
332802,VBP|VBN,VBP|VBN,PRES,PERF_PROG,IND,PRES.PERF_PROG.IND,PRES PERF PROG,VBP,VBP,PRES,PROG,IND,PRES.PROG.IND,PRES PROG,True,PRES.PERF_PROG.IND ~ PRES.PROG.IND,False
332813,VBZ|VBN,VBZ|VBN,PRES,,IND,PRES..IND,PRES,VBZ|VBN,VBZ|VBN,PRES,,IND,PRES..IND,PRES,True,PRES..IND,True
332818,VBP|RB,VBP,PRES,,IND,PRES..IND,PRES,VBP|RB,VBP,PRES,,IND,PRES..IND,PRES,True,PRES..IND,True
332832,VBD|VBN,VBD|VBN,PAST,,IND,PAST..IND,PAST,NN,,,,,,,False,,False
332871,PRP|VBP|RP,VBP,PRES,,IND,PRES..IND,PRES,PRP|VBP|RP,VBP,PRES,,IND,PRES..IND,PRES,True,PRES..IND,True
332905,PRP|VBP|VBN|JJ,VBP|VBN,PRES,PERF,IND,PRES.PERF.IND,PRES PERF,PRP|VBP|VBN,VBP|VBN,PRES,PERF,IND,PRES.PERF.IND,PRES PERF,True,PRES.PERF.IND,True
332908,VBZ|VBN|JJ,VBZ|VBN,PRES,PERF,IND,PRES.PERF.IND,PRES PERF,VBP|VBN,VBP|VBN,PRES,PERF,IND,PRES.PERF.IND,PRES PERF,True,PRES.PERF.IND,True
332928,VBD,VBD,PAST,,IND,PAST..IND,PAST,VBD|VBN,VBD|VBN,PAST,PERF,IND,PAST.PERF.IND,PAST PERF,True,PAST..IND ~ PAST.PERF.IND,False
332936,VBD,VBD,PAST,,IND,PAST..IND,PAST,VBD|VBN,VBD|VBN,PAST,PERF,IND,PAST.PERF.IND,PAST PERF,True,PAST..IND ~ PAST.PERF.IND,False
332944,PRP|MD|VB|VBN|RP,VB|VBN,PAST,,SUBJ,PAST..SUBJ,FUT-IN-PAST,PRP|MD|VB|VBN,VB|VBN,PAST,,SUBJ,PAST..SUBJ,FUT-IN-PAST,True,PAST..SUBJ,True
332952,MD|VB|VBN|RB,VB|VBN,PAST,,SUBJ,PAST..SUBJ,FUT-IN-PAST,MD|VB|VBN,VB|VBN,PAST,,SUBJ,PAST..SUBJ,FUT-IN-PAST,True,PAST..SUBJ,True
332954,MD|VB|VBN,VB|VBN,PAST,,SUBJ,PAST..SUBJ,FUT-IN-PAST,MD|VB|VBN,VB|VBN,PAST,,SUBJ,PAST..SUBJ,FUT-IN-PAST,True,PAST..SUBJ,True
332958,MD|VB|VBN,VB|VBN,PAST,,SUBJ,PAST..SUBJ,FUT-IN-PAST,MD|VB|VBN|RB,VB|VBN,PAST,,SUBJ,PAST..SUBJ,FUT-IN-PAST,True,PAST..SUBJ,True
332969,VBZ|VBN,VBZ|VBN,PRES,PERF,IND,PRES.PERF.IND,PRES PERF,VBZ|VBN,VBZ|VBN,PRES,PERF,IND,PRES.PERF.IND,PRES PERF,True,PRES.PERF.IND,True
332976,VBP|VBN,VBP|VBN,PRES,PERF,IND,PRES.PERF.IND,PRES PERF,VBP|VBN,VBP|VBN,PRES,PERF,IND,PRES.PERF.IND,PRES PERF,True,PRES.PERF.IND,True
332985,VBP|VBN,VBP|VBN,PRES,PERF,IND,PRES.PERF.IND,PRES PERF,VBP|VBN,VBP|VBN,PRES,PERF,IND,PRES.PERF.IND,PRES PERF,True,PRES.PERF.IND,True
333073,PRP|VBD,VBD,PAST,,IND,PAST..IND,PAST,PRP|VBD,VBD,PAST,,IND,PAST..IND,PAST,True,PAST..IND,True
333088,JJ|NNS,,,,,,,JJ|NNS,,,,,,,False,,False
333094,JJ|NNS,,,,,,,JJ|NNS,,,,,,,False,,False
333099,PRP|VBP,VBP,PRES,,IND,PRES..IND,PRES,PRP|VBP,VBP,PRES,,IND,PRES..IND,PRES,True,PRES..IND,True
333142,NN,,,,,,,NN,,,,,,,False,,False
333151,VBZ|JJ,VBZ,PRES,,IND,PRES..IND,PRES,VBP|NNP,VBP,PRES,,IND,PRES..IND,PRES,True,PRES..IND,True
333189,VBZ,VBZ,PRES,,IND,PRES..IND,PRES,VBZ|JJ,VBZ,PRES,,IND,PRES..IND,PRES,True,PRES..IND,True
333266,VBP|PRP|VBN,VBP|VBN,PRES,PERF,IND,PRES.PERF.IND,PRES PERF,PRP|VBP|VBN,VBP|VBN,PRES,PERF,IND,PRES.PERF.IND,PRES PERF,True,PRES.PERF.IND,True
333273,VBP|PRP|VBN,VBP|VBN,PRES,PERF,IND,PRES.PERF.IND,PRES PERF,PRP|VBP|VBN,VBP|VBN,PRES,PERF,IND,PRES.PERF.IND,PRES PERF,True,PRES.PERF.IND,True
333278,PRP|VBP|VBN,VBP|VBN,PRES,PERF,IND,PRES.PERF.IND,PRES PERF,PRP|VBP|VBN|DT|NN,VBP|VBN,PRES,PERF,IND,PRES.PERF.IND,PRES PERF,True,PRES.PERF.IND,True
333282,NNS,,,,,,,VBP|VBN,VBP|VBN,PRES,PERF,IND,PRES.PERF.IND,PRES PERF,False,,False
333284,PRP|VBD|JJ,VBD,PAST,,IND,PAST..IND,PAST,VBD|JJ,VBD,PAST,,IND,PAST..IND,PAST,True,PAST..IND,True
333289,PRP|VBZ|VBN,VBZ|VBN,PRES,PERF,IND,PRES.PERF.IND,PRES PERF,PRP|VBZ|VBN,VBZ|VBN,PRES,PERF,IND,PRES.PERF.IND,PRES PERF,True,PRES.PERF.IND,True
333305,PRP|VBZ|RP,VBZ,PRES,,IND,PRES..IND,PRES,PRP|MD|VB,VB,PRES,,MOD,PRES..MOD,MOD,True,PRES..IND ~ PRES..MOD,False
333306,NNS,,,,,,,NNS,,,,,,,False,,False
333309,VBZ|VB,VBZ|VB,PRES,,IND,PRES..IND,DO PRES,VB,VB,PRES,,MOD,PRES..MOD,MOD,True,PRES..IND ~ PRES..MOD,False
333317,VB|VBP,VB|VBP,PRES,,IMPV,PRES..IMPV,IMPV,MD|VB,VB,PRES,,IMPV,PRES..IMPV,IMPV,True,PRES..IMPV,True
333323,PRP|VBP,VBP,PRES,,IND,PRES..IND,PRES,PRP|VBP,VBP,PRES,,IND,PRES..IND,PRES,True,PRES..IND,True
333333,PRP|VBP,VBP,PRES,,IND,PRES..IND,PRES,PRP|VBP,VBP,PRES,,IND,PRES..IND,PRES,True,PRES..IND,True
333358,PRP|VBP|IN,VBP,PRES,,IND,PRES..IND,PRES,PRP|VBP|IN,VBP,PRES,,IND,PRES..IND,PRES,True,PRES..IND,True
333360,VBZ,VBZ,PRES,,IND,PRES..IND,PRES,VBZ,VBZ,PRES,,IND,PRES..IND,PRES,True,PRES..IND,True
333365,PRP|VBP,VBP,PRES,,IND,PRES..IND,PRES,PRP|VBD|PRP$|NN,VBD,PAST,,IND,PAST..IND,PAST,True,PAST..IND ~ PRES..IND,False
333406,VBZ|VBN|RP,VBZ|VBN,PRES,,IND,PRES..IND,PRES,VBZ|JJ,VBZ,PRES,,IND,PRES..IND,PRES,True,PRES..IND,True
333410,VBP|VBN|RB|JJ,VBP|VBN,PRES,,IND,PRES..IND,PRES,VBP|JJ,VBP,PRES,,IND,PRES..IND,PRES,True,PRES..IND,True
333414,PRP|VBP|VB|PRP,VBP|VB,PRES,,IMPV,PRES..IMPV,IMPV,,,,,,,,False,,False
333423,PRP|VBP|VBN,VBP|VBN,PRES,PERF,IND,PRES.PERF.IND,PRES PERF,PRP|VBP|VBN,VBP|VBN,PRES,PERF,IND,PRES.PERF.IND,PRES PERF,True,PRES.PERF.IND,True
333456,PRP|VBD,VBD,PAST,,IND,PAST..IND,PAST,PRP|VBD|DT|NN,VBD,PAST,,IND,PAST..IND,PAST,True,PAST..IND,True
333459,VBD,VBD,PAST,,IND,PAST..IND,PAST,VBD|DT|NN,VBD,PAST,,IND,PAST..IND,PAST,True,PAST..IND,True
