bhsa_node,mother_cl,mother_cl_atom,mother_clause,mother_rela,mother_domain2,mother_verbtype,mother_type,mother_verb_ps,mother_verb_lex,daught_cl,daught_cl_atom,daught_clause,daught_rela,daught_domain2,daught_verbtype,daught_type,daught_verb_ps,daught_verb_lex
128152,451212.0,540165.0,וַיֵּ֕שֶׁב בְּקֶ֥רֶב הַֽכְּנַעֲנִ֖י יֹשְׁבֵ֣י הָאָ֑רֶץ ,Main,N,wayq,Way0,p3,JCB[,,,,,,,,,
128167,451214.0,540167.0,וַיִּלְחֲצ֧וּ הָאֱמֹרִ֛י אֶת־בְּנֵי־דָ֖ן הָהָ֑רָה ,Main,N,wayq,WayX,p3,LXY[,451216.0,540169.0,לָרֶ֥דֶת לָעֵֽמֶק׃ ,SubAdv,N,infc,InfC,unknown,JRD[
128229,451225.0,540178.0,וָאָבִ֤יא אֶתְכֶם֙ אֶל־הָאָ֗רֶץ ,Main,Q,wayq,Way0,p1,BW>[,,,,,,,,,
128255,451227.0,540180.0,וָאֹמַ֕ר ,Main,Q,wayq,Way0,p1,>MR[,451233.0,540186.0,מַה־זֹּ֥את עֲשִׂיתֶֽם׃ ,Main,Q,qtl,xQt0,p2,<FH[
128260,451232.0,540185.0,וְלֹֽא־שְׁמַעְתֶּ֥ם בְּקֹלִ֖י ,Main,Q,qtl,WxQ0,p2,CM<[,,,,,,,,,
128263,451227.0,540180.0,וָאֹמַ֕ר ,Main,Q,wayq,Way0,p1,>MR[,451235.0,540188.0,לֹֽא־אֲגָרֵ֥שׁ אֹותָ֖ם מִפְּנֵיכֶ֑ם ,Main,Q,yqtl,xYq0,p1,GRC[
128349,451248.0,540201.0,וַיַּעַבְד֤וּ הָעָם֙ אֶת־יְהוָ֔ה כֹּ֖ל יְמֵ֣י יְהֹושֻׁ֑עַ וְכֹ֣ל׀ יְמֵ֣י הַזְּקֵנִ֗ים ,Main,N,wayq,WayX,p3,<BD[,451250.0,540203.0,אֲשֶׁ֣ר רָא֗וּ אֵ֣ת כָּל־מַעֲשֵׂ֤ה יְהוָה֙ הַגָּדֹ֔ול ,SubAdv,N,qtl,xQt0,p3,R>H[
128354,451249.0,540202.0,אֲשֶׁ֨ר הֶאֱרִ֤יכוּ יָמִים֙ אַחֲרֵ֣י יְהֹושׁ֔וּעַ ,SubMod,N,qtl,xQt0,p3,>RK[,451251.0,540204.0,אֲשֶׁ֥ר עָשָׂ֖ה לְיִשְׂרָאֵֽל׃ ,SubMod,N,qtl,xQt0,p3,<FH[
128362,451250.0,540203.0,אֲשֶׁ֣ר רָא֗וּ אֵ֣ת כָּל־מַעֲשֵׂ֤ה יְהוָה֙ הַגָּדֹ֔ול ,SubAdv,N,qtl,xQt0,p3,R>H[,,,,,,,,,
128400,451252.0,540205.0,וַיָּ֛מָת יְהֹושֻׁ֥עַ בִּן־נ֖וּן עֶ֣בֶד יְהוָ֑ה בֶּן־מֵאָ֥ה וָעֶ֖שֶׂר שָׁנִֽים׃ ,Main,N,wayq,WayX,p3,MWT[,,,,,,,,,
128410,451255.0,540208.0,וַיָּקָם֩ דֹּ֨ור אַחֵ֜ר אַחֲרֵיהֶ֗ם ,Main,N,wayq,WayX,p3,QWM[,451257.0,540210.0,וְגַם֙ אֶת־הַֽמַּעֲשֶׂ֔ה ,Main,N,Ø,Ellp,,
128419,451257.0,540210.0,וְגַם֙ אֶת־הַֽמַּעֲשֶׂ֔ה ,Main,N,Ø,Ellp,,,,,,,,,,,
128503,451270.0,540223.0,וַיִּֽחַר־אַ֤ף יְהוָה֙ בְּיִשְׂרָאֵ֔ל ,Main,N,wayq,WayX,p3,XRH[,451275.0,540228.0,לַעֲמֹ֖ד לִפְנֵ֥י אֹויְבֵיהֶֽם׃ ,SubArg,N,infc,InfC,unknown,<MD[
128513,451276.0,540229.0,בְּכֹ֣ל׀ ,Main,N,Ø,Defc,,,,,,,,,,,
128516,451276.0,540229.0,בְּכֹ֣ל׀ ,Main,N,Ø,Defc,,,,,,,,,,,
128522,451276.0,540229.0,בְּכֹ֣ל׀ ,Main,N,Ø,Defc,,,451279.0,540233.0,וְכַאֲשֶׁ֛ר נִשְׁבַּ֥ע יְהוָ֖ה לָהֶ֑ם ,SubAdv,N,qtl,WxQX,p3,CB<[
128527,451278.0,540232.0,כַּֽאֲשֶׁר֙ דִּבֶּ֣ר יְהוָ֔ה ,SubAdv,N,qtl,xQtX,p3,DBR[,,,,,,,,,
128548,451282.0,540236.0,וַיֹּ֣ושִׁיע֔וּם מִיַּ֖ד שֹׁסֵיהֶֽם׃ ,Main,N,wayq,Way0,p3,JC<[,451284.0,540238.0,כִּ֣י זָנ֗וּ אַֽחֲרֵי֙ אֱלֹהִ֣ים אֲחֵרִ֔ים ,SubAdv,N,qtl,xQt0,p3,ZNH[
128550,451283.0,540237.0,וְגַ֤ם אֶל־שֹֽׁפְטֵיהֶם֙ לֹ֣א שָׁמֵ֔עוּ ,Main,N,qtl,WxQ0,p3,CM<[,451285.0,540239.0,וַיִּֽשְׁתַּחֲו֖וּ לָהֶ֑ם ,SubAdv,N,wayq,Way0,p3,XWH[
128557,451284.0,540238.0,כִּ֣י זָנ֗וּ אַֽחֲרֵי֙ אֱלֹהִ֣ים אֲחֵרִ֔ים ,SubAdv,N,qtl,xQt0,p3,ZNH[,451287.0,540241.0,אֲשֶׁ֨ר הָלְכ֧וּ אֲבֹותָ֛ם ,SubMod,N,qtl,xQtX,p3,HLK[
128563,451286.0,540240.0,סָ֣רוּ מַהֵ֗ר מִן־הַדֶּ֜רֶךְ ,Main,N,qtl,ZQt0,p3,SWR[,451288.0,540242.0,לִשְׁמֹ֥עַ מִצְוֹת־יְהוָ֖ה ,SubAdv,N,infc,InfC,unknown,CM<[
128570,451286.0,540240.0,סָ֣רוּ מַהֵ֗ר מִן־הַדֶּ֜רֶךְ ,Main,N,qtl,ZQt0,p3,SWR[,451290.0,540244.0,וְכִֽי־הֵקִ֨ים יְהוָ֥ה׀ לָהֶם֮ שֹֽׁפְטִים֒ ,SubAdv,N,qtl,WxQX,p3,QWM[
128574,451289.0,540243.0,לֹא־עָ֥שׂוּ כֵֽן׃ ,Main,N,qtl,xQt0,p3,<FH[,451291.0,540245.0,וְהָיָ֤ה יְהוָה֙ עִם־הַשֹּׁפֵ֔ט ,Main,N,wqtl,WQtX,p3,HJH[
128626,451294.0,540248.0,וְהָיָ֣ה׀ בְּמֹ֣ות הַשֹּׁופֵ֗ט ,Main,D,wqtl,WQt0,p3,HJH[,,,,,,,,,
128644,451306.0,540260.0,גַּם־אֲנִי֙ לֹ֣א אֹוסִ֔יף ,Main,Q,yqtl,XYqt,p1,JSP[,451304.0,540258.0,אֲשֶׁ֣ר צִוִּ֣יתִי אֶת־אֲבֹותָ֔ם ,SubMod,Q,qtl,xQt0,p1,YWH[
128652,451303.0,540257.0,יַעַן֩ אֲשֶׁ֨ר עָבְר֜וּ הַגֹּ֣וי הַזֶּ֗ה אֶת־בְּרִיתִי֙ ,SubAdv,Q,qtl,xQtX,p3,<BR[,451305.0,540259.0,וְלֹ֥א שָׁמְע֖וּ לְקֹולִֽי׃ ,SubAdv,Q,qtl,WxQ0,p3,CM<[
128657,451304.0,540258.0,אֲשֶׁ֣ר צִוִּ֣יתִי אֶת־אֲבֹותָ֔ם ,SubMod,Q,qtl,xQt0,p1,YWH[,,,,,,,,,
128673,451307.0,540261.0,לְהֹורִ֥ישׁ אִ֖ישׁ מִפְּנֵיהֶ֑ם מִן־הַגֹּויִ֛ם ,SubAdv,Q,infc,InfC,unknown,JRC[,451309.0,540263.0,וַיָּמֹֽת׃ ,SubAdv,Q,wayq,Way0,p3,MWT[
128693,451312.0,540266.0,לָלֶ֣כֶת בָּ֗ם ,SubAdv,Q,infc,InfC,unknown,HLK[,,,,,,,,,
128711,451315.0,540269.0,וַיַּנַּ֤ח יְהוָה֙ אֶת־הַגֹּויִ֣ם הָאֵ֔לֶּה ,Main,N,wayq,WayX,p3,NWX[,,,,,,,,,
128720,451318.0,540272.0,וְאֵ֤לֶּה הַגֹּויִם֙ ,Main,?,Ø,NmCl,,,451320.0,540274.0,לְנַסֹּ֥ות בָּ֖ם אֶת־יִשְׂרָאֵ֑ל אֵ֚ת כָּל־,SubAdv,?,infc,InfC,unknown,NSH[
128731,451320.0,540274.0,לְנַסֹּ֥ות בָּ֖ם אֶת־יִשְׂרָאֵ֑ל אֵ֚ת כָּל־,SubAdv,?,infc,InfC,unknown,NSH[,,,,,,,,,
128750,451322.0,540276.0,רַ֗ק לְמַ֨עַן֙ דַּ֚עַת דֹּרֹ֣ות בְּנֵֽי־יִשְׂרָאֵ֔ל ,SubAdv,?,infc,InfC,unknown,JD<[,,,,,,,,,
128790,451331.0,540285.0,הֲיִשְׁמְעוּ֙ אֶת־מִצְוֹ֣ת יְהוָ֔ה ,SubArg,N,yqtl,xYq0,p3,CM<[,,,,,,,,,
128799,451318.0,540272.0,וְאֵ֤לֶּה הַגֹּויִם֙ ,Main,?,Ø,NmCl,,,451334.0,540288.0,וַיִּקְח֨וּ אֶת־בְּנֹותֵיהֶ֤ם לָהֶם֙ לְנָשִׁ֔ים ,Main,N,wayq,Way0,p3,LQX[
128828,451334.0,540288.0,וַיִּקְח֨וּ אֶת־בְּנֹותֵיהֶ֤ם לָהֶם֙ לְנָשִׁ֔ים ,Main,N,wayq,Way0,p3,LQX[,,,,,,,,,
128965,451358.0,540313.0,וַיְחַזֵּ֨ק יְהוָ֜ה אֶת־עֶגְלֹ֤ון מֶֽלֶךְ־מֹואָב֙ עַל־יִשְׂרָאֵ֔ל ,Main,N,wayq,WayX,p3,XZQ[,451360.0,540315.0,אֶת־הָרַ֖ע בְּעֵינֵ֥י יְהוָֽה׃ ,SubArg,N,Ø,AjCl,,
129075,451375.0,540330.0,וַֽיְהִי֙ ,Main,N,wayq,Way0,p3,HJH[,451377.0,540332.0,לְהַקְרִ֖יב אֶת־הַמִּנְחָ֑ה ,SubAdv,N,infc,InfC,unknown,QRB[
129091,451378.0,540333.0,וַיְשַׁלַּח֙ אֶת־הָעָ֔ם נֹשְׂאֵ֖י הַמִּנְחָֽה׃ ,Main,N,wayq,Way0,p3,CLX[,451380.0,540335.0,אֲשֶׁ֣ר אֶת־הַגִּלְגָּ֔ל ,SubMod,N,Ø,NmCl,,
129120,451386.0,540341.0,וַיֵּֽצְאוּ֙ מֵֽעָלָ֔יו כָּל־,Main,N,wayq,WayX,p3,JY>[,451389.0,540344.0,וְהֽוּא־יֹ֠שֵׁב בַּעֲלִיַּ֨ת הַמְּקֵרָ֤ה ,Main,N,ptcp,Ptcp,unknown,JCB[
129182,451398.0,540353.0,וַיִּסְגֹּ֤ר הַחֵ֨לֶב֙ בְּעַ֣ד הַלַּ֔הַב ,Main,N,wayq,WayX,p3,SGR[,,,,,,,,,
129206,451401.0,540356.0,וַיֵּצֵ֥א אֵה֖וּד הַֽמִּסְדְּרֹ֑ונָה ,Main,N,wayq,WayX,p3,JY>[,451405.0,540360.0,וַעֲבָדָ֣יו בָּ֔אוּ ,Main,N,qtl,WXQt,p3,BW>[
129209,451404.0,540359.0,וְה֤וּא יָצָא֙ ,Main,N,qtl,WXQt,p3,JY>[,451406.0,540361.0,וַיִּרְא֕וּ ,Main,N,wayq,Way0,p3,R>H[
129255,451404.0,540359.0,וְה֤וּא יָצָא֙ ,Main,N,qtl,WXQt,p3,JY>[,451421.0,540376.0,עַ֣ד הִֽתְמַהְמְהָ֑ם ,SubAdv,N,infc,InfC,unknown,MHH[
129260,451420.0,540375.0,וְאֵה֥וּד נִמְלַ֖ט ,Main,N,qtl,WXQt,p3,MLV[,451423.0,540378.0,וַיִּמָּלֵ֖ט הַשְּׂעִירָֽתָה׃ ,Main,N,wayq,Way0,p3,MLV[
129298,451430.0,540385.0,רִדְפ֣וּ אַחֲרַ֔י ,Main,Q,impv,ZIm0,p2,RDP[,,,,,,,,,
129319,451433.0,540388.0,וַֽיִּלְכְּד֞וּ אֶת־מַעְבְּרֹ֤ות הַיַּרְדֵּן֙ לְמֹואָ֔ב ,Main,N,wayq,Way0,p3,LKD[,451435.0,540390.0,לַעֲבֹֽר׃ ,SubArg,N,infc,InfC,unknown,<BR[
129344,451436.0,540391.0,וַיַּכּ֨וּ אֶת־מֹואָ֜ב בָּעֵ֣ת הַהִ֗יא כַּעֲשֶׂ֤רֶת אֲלָפִים֙ אִ֔ישׁ כָּל־שָׁמֵ֖ן וְכָל־אִ֣ישׁ חָ֑יִל ,Main,N,wayq,WayX,p3,NKH[,,,,,,,,,
129365,451367.0,540322.0,וַיָּקֶם֩ יְהוָ֨ה לָהֶ֜ם מֹושִׁ֗יעַ אֶת־אֵה֤וּד בֶּן־גֵּרָא֙ בֶּן־הַיְמִינִ֔י אִ֥ישׁ אִטֵּ֖ר יַד־יְמִינֹ֑ו ,Main,N,wayq,WayX,p3,QWM[,451441.0,540396.0,וַיַּ֤ךְ אֶת־פְּלִשְׁתִּים֙ שֵֽׁשׁ־מֵאֹ֣ות אִ֔ישׁ בְּמַלְמַ֖ד הַבָּקָ֑ר ,Main,N,wayq,WayX,p3,NKH[
129399,451443.0,540398.0,וַיֹּסִ֨פוּ֙ בְּנֵ֣י יִשְׂרָאֵ֔ל ,Main,N,wayq,WayX,p3,JSP[,,,,,,,,,
129409,451447.0,540402.0,וַיִּמְכְּרֵ֣ם יְהוָ֗ה בְּיַד֙ יָבִ֣ין מֶֽלֶךְ־כְּנַ֔עַן ,Main,N,wayq,WayX,p3,MKR[,,,,,,,,,
129435,451452.0,540407.0,כִּ֠י תְּשַׁ֨ע מֵאֹ֤ות רֶֽכֶב־בַּרְזֶל֙ לֹ֔ו ,SubAdv,N,Ø,NmCl,,,,,,,,,,,
129497,451460.0,540415.0,וַתֹּ֨אמֶר אֵלָ֜יו ,Main,N,wayq,Way0,p3,>MR[,451462.0,540417.0,לֵ֤ךְ ,Main,Q,impv,ZIm0,p2,HLK[
129636,451485.0,540440.0,וַיַּגִּ֖דוּ לְסִֽיסְרָ֑א ,Main,N,wayq,Way0,p3,NGD[,,,,,,,,,
129675,451491.0,540447.0,כִּ֣י זֶ֤ה הַיֹּום֙ ,SubAdv,Q,Ø,NmCl,,,,,,,,,,,
129684,451490.0,540446.0,ק֗וּם ,Main,Q,impv,ZIm0,p2,QWM[,,,,,,,,,
129732,451497.0,540453.0,וַיֵּ֧רֶד סִֽיסְרָ֛א מֵעַ֥ל הַמֶּרְכָּבָ֖ה ,Main,N,wayq,WayX,p3,JRD[,451500.0,540456.0,וַיִּפֹּ֞ל כָּל־מַחֲנֵ֤ה סִֽיסְרָא֙ לְפִי־חֶ֔רֶב ,Main,N,wayq,WayX,p3,NPL[
129751,451500.0,540456.0,וַיִּפֹּ֞ל כָּל־מַחֲנֵ֤ה סִֽיסְרָא֙ לְפִי־חֶ֔רֶב ,Main,N,wayq,WayX,p3,NPL[,,,,,,,,,
129756,451497.0,540453.0,וַיֵּ֧רֶד סִֽיסְרָ֛א מֵעַ֥ל הַמֶּרְכָּבָ֖ה ,Main,N,wayq,WayX,p3,JRD[,451503.0,540459.0,כִּ֣י שָׁלֹ֗ום בֵּ֚ין יָבִ֣ין מֶֽלֶךְ־חָצֹ֔ור וּבֵ֕ין בֵּ֖ית חֶ֥בֶר הַקֵּינִֽי׃ ,SubAdv,N,Ø,NmCl,,
129811,451514.0,540470.0,הַשְׁקִינִי־נָ֥א מְעַט־מַ֖יִם ,Main,Q,impv,ZIm0,p2,CQH[,,,,,,,,,
129952,451550.0,540506.0,וַתֵּ֜לֶךְ יַ֤ד בְּנֵֽי־יִשְׂרָאֵל֙ הָלֹ֣וךְ וְקָשָׁ֔ה עַ֖ל יָבִ֣ין מֶֽלֶךְ־כְּנָ֑עַן ,Main,N,wayq,WayX,p3,HLK[,,,,,,,,,
130006,451564.0,540520.0,יְהוָ֗ה ,Main,Q,Ø,Voct,,,451565.0,540521.0,בְּצֵאתְךָ֤ מִשֵּׂעִיר֙ ,SubAdv,Q,infc,InfC,unknown,JY>[
130009,451567.0,540523.0,אֶ֣רֶץ רָעָ֔שָׁה ,Main,Q,qtl,XQtl,p3,R<C[,451569.0,540525.0,גַּם־עָבִ֖ים נָ֥טְפוּ מָֽיִם׃ ,Main,Q,qtl,XQtl,p3,NVP[
130012,451568.0,540524.0,גַּם־שָׁמַ֖יִם נָטָ֑פוּ ,Main,Q,qtl,XQtl,p3,NVP[,451570.0,540526.0,הָרִ֥ים נָזְל֖וּ מִפְּנֵ֣י יְהוָ֑ה ,Main,Q,qtl,XQtl,p3,ZLL[
130015,451569.0,540525.0,גַּם־עָבִ֖ים נָ֥טְפוּ מָֽיִם׃ ,Main,Q,qtl,XQtl,p3,NVP[,451571.0,540527.0,זֶ֣ה סִינַ֔י ,SubMod,Q,Ø,NmCl,,
130034,451564.0,540520.0,יְהוָ֗ה ,Main,Q,Ø,Voct,,,451574.0,540530.0,וְהֹלְכֵ֣י נְתִיבֹ֔ות יֵלְכ֕וּ אֳרָחֹ֖ות עֲקַלְקַלֹּֽות׃ ,Main,Q,yqtl,WXYq,p3,HLK[
130042,451573.0,540529.0,בִּימֵ֞י שַׁמְגַּ֤ר בֶּן־עֲנָת֙ בִּימֵ֣י יָעֵ֔ל חָדְל֖וּ אֳרָחֹ֑ות ,Main,Q,qtl,xQtX,p3,XDL[,451576.0,540532.0,חָדֵ֑לּוּ ,Main,Q,qtl,ZQt0,p3,XDL[
130046,451575.0,540531.0,חָדְל֧וּ פְרָזֹ֛ון בְּיִשְׂרָאֵ֖ל ,Main,Q,qtl,ZQtX,p3,XDL[,451577.0,540533.0,עַ֤ד שַׁקַּ֨מְתִּי֙ ,SubAdv,Q,qtl,xQt0,p1,QWM[
130049,451576.0,540532.0,חָדֵ֑לּוּ ,Main,Q,qtl,ZQt0,p3,XDL[,451578.0,540534.0,דְּבֹורָ֔ה ,Main,Q,Ø,Voct,,
130052,451577.0,540533.0,עַ֤ד שַׁקַּ֨מְתִּי֙ ,SubAdv,Q,qtl,xQt0,p1,QWM[,,,,,,,,,
130108,451591.0,540548.0,שִֽׂיחוּ׃ ,Main,Q,impv,ZIm0,p2,FJX[,451594.0,540551.0,עוּרִ֤י ,Main,Q,impv,ZIm0,p2,<WR[
130151,451606.0,540563.0,מִנִּ֣י אֶפְרַ֗יִם שָׁרְשָׁם֙ בַּעֲמָלֵ֔ק ,Main,Q,Ø,NmCl,,,451610.0,540568.0,וּמִ֨זְּבוּלֻ֔ן מֹשְׁכִ֖ים בְּשֵׁ֥בֶט סֹפֵֽר׃ ,Main,Q,Ø,Ellp,,
130173,451613.0,540571.0,כֵּ֣ן בָּרָ֔ק ,Main,Q,Ø,NmCl,,,,,,,,,,,
130183,451615.0,540573.0,בִּפְלַגֹּ֣ות רְאוּבֵ֔ן גְּדֹלִ֖ים חִקְקֵי־לֵֽב׃ ,Main,Q,Ø,AjCl,,,451617.0,540575.0,לִשְׁמֹ֖עַ שְׁרִקֹ֣ות עֲדָרִ֑ים ,SubAdv,Q,infc,InfC,unknown,CM<[
130202,451618.0,540576.0,לִפְלַגֹּ֣ות רְאוּבֵ֔ן גְּדֹולִ֖ים חִקְרֵי־לֵֽב׃ ,Main,Q,Ø,AjCl,,,451620.0,540578.0,וְדָ֕ן ,Main,Q,Ø,CPen,,
130209,451619.0,540577.0,גִּלְעָ֗ד בְּעֵ֤בֶר הַיַּרְדֵּן֙ שָׁכֵ֔ן ,Main,Q,qtl,XQtl,p3,CKN[,451623.0,540581.0,וְעַ֥ל מִפְרָצָ֖יו יִשְׁכֹּֽון׃ ,Main,Q,yqtl,WxY0,p3,CKN[
130219,451624.0,540582.0,זְבֻל֗וּן עַ֣ם ,Main,Q,Ø,NmCl,,,451626.0,540584.0,לָמ֖וּת ,SubAdv,Q,infc,InfC,unknown,MWT[
130228,451605.0,540562.0,יְהוָ֕ה יְרַד־לִ֖י בַּגִּבֹּורִֽים׃ ,Main,Q,yqtl,XYqt,p3,RDH[,451629.0,540587.0,נִלְחָ֔מוּ ,Main,Q,qtl,ZQt0,p3,LXM[
130230,451628.0,540586.0,בָּ֤אוּ מְלָכִים֙ ,Main,Q,qtl,ZQtX,p3,BW>[,,,,,,,,,
130232,451593.0,540550.0,אָ֛ז יָרְד֥וּ לַשְּׁעָרִ֖ים עַם־יְהוָֽה׃ ,Main,Q,qtl,xQtX,p3,JRD[,451631.0,540589.0,בֶּ֥צַע כֶּ֖סֶף לֹ֥א לָקָֽחוּ׃ ,Main,Q,qtl,xQt0,p3,LQX[
130243,451630.0,540588.0,אָ֤ז נִלְחֲמוּ֙ מַלְכֵ֣י כְנַ֔עַן בְּתַעְנַ֖ךְ עַל־מֵ֣י מְגִדֹּ֑ו ,Main,Q,qtl,xQtX,p3,LXM[,,,,,,,,,
130246,451630.0,540588.0,אָ֤ז נִלְחֲמוּ֙ מַלְכֵ֣י כְנַ֔עַן בְּתַעְנַ֖ךְ עַל־מֵ֣י מְגִדֹּ֑ו ,Main,Q,qtl,xQtX,p3,LXM[,451633.0,540591.0,הַכֹּֽוכָבִים֙ מִמְּסִלֹּותָ֔ם נִלְחֲמ֖וּ עִם־סִיסְרָֽא׃ ,Main,Q,qtl,XQtl,p3,LXM[
130251,451632.0,540590.0,מִן־שָׁמַ֖יִם נִלְחָ֑מוּ ,Main,Q,qtl,xQt0,p3,LXM[,451634.0,540592.0,נַ֤חַל קִישֹׁון֙ גְּרָפָ֔ם נַ֥חַל קְדוּמִ֖ים נַ֣חַל קִישֹׁ֑ון ,Main,Q,qtl,XQtl,p3,GRP[
130256,451633.0,540591.0,הַכֹּֽוכָבִים֙ מִמְּסִלֹּותָ֔ם נִלְחֲמ֖וּ עִם־סִיסְרָֽא׃ ,Main,Q,qtl,XQtl,p3,LXM[,451635.0,540593.0,תִּדְרְכִ֥י ,Main,Q,yqtl,ZYq0,p2,DRK[
130265,451630.0,540588.0,אָ֤ז נִלְחֲמוּ֙ מַלְכֵ֣י כְנַ֔עַן בְּתַעְנַ֖ךְ עַל־מֵ֣י מְגִדֹּ֑ו ,Main,Q,qtl,xQtX,p3,LXM[,,,,,,,,,
130274,451638.0,540597.0,אֹ֣ורוּ מֵרֹ֗וז ,Main,Q,impv,ZIm0,p2,>RR[,,,,,,,,,
130282,451640.0,540599.0,אֹ֥רוּ אָרֹ֖ור יֹשְׁבֶ֑יהָ ,Main,Q,impv,ZIm0,p2,>RR[,,,,,,,,,
130307,451642.0,540601.0,תְּבֹרַךְ֙ מִנָּשִׁ֔ים יָעֵ֕ל אֵ֖שֶׁת חֶ֣בֶר הַקֵּינִ֑י ,Main,Q,yqtl,ZYqX,p3,BRK[,451645.0,540604.0,חָלָ֣ב נָתָ֑נָה ,Main,Q,qtl,xQt0,p3,NTN[
130309,451644.0,540603.0,מַ֥יִם שָׁאַ֖ל ,Main,Q,qtl,xQt0,p3,C>L[,451646.0,540605.0,בְּסֵ֥פֶל אַדִּירִ֖ים הִקְרִ֥יבָה חֶמְאָֽה׃ ,Main,Q,qtl,xQt0,p3,QRB[
130313,451645.0,540604.0,חָלָ֣ב נָתָ֑נָה ,Main,Q,qtl,xQt0,p3,NTN[,,,,,,,,,
130328,451649.0,540608.0,וְהָלְמָ֤ה סִֽיסְרָא֙ ,Main,Q,wqtl,WQt0,p3,HLM[,451651.0,540610.0,וּמָחֲצָ֥ה ,Main,Q,wqtl,WQt0,p3,MXY[
130337,451644.0,540603.0,מַ֥יִם שָׁאַ֖ל ,Main,Q,qtl,xQt0,p3,C>L[,451654.0,540613.0,נָפַ֖ל ,Main,Q,qtl,ZQt0,p3,NPL[
130338,451653.0,540612.0,בֵּ֣ין רַגְלֶ֔יהָ כָּרַ֥ע ,Main,Q,qtl,xQt0,p3,KR<[,451655.0,540614.0,שָׁכָ֑ב ,Main,Q,qtl,ZQt0,p3,CKB[
130339,451654.0,540613.0,נָפַ֖ל ,Main,Q,qtl,ZQt0,p3,NPL[,,,,,,,,,
130342,451653.0,540612.0,בֵּ֣ין רַגְלֶ֔יהָ כָּרַ֥ע ,Main,Q,qtl,xQt0,p3,KR<[,451657.0,540616.0,נָפָ֔ל ,Main,Q,qtl,ZQt0,p3,NPL[
130343,451656.0,540615.0,בֵּ֤ין רַגְלֶ֨יהָ֙ כָּרַ֣ע ,Main,Q,qtl,xQt0,p3,KR<[,,,,,,,,,
130346,451656.0,540615.0,בֵּ֤ין רַגְלֶ֨יהָ֙ כָּרַ֣ע ,Main,Q,qtl,xQt0,p3,KR<[,451659.0,540618.0,שָׁ֖ם נָפַ֥ל שָׁדֽוּד׃ ,Main,Q,qtl,xQt0,p3,NPL[
130348,451658.0,540617.0,בַּאֲשֶׁ֣ר כָּרַ֔ע ,SubAdv,Q,qtl,CPen,p3,KR<[,,,,,,,,,
130353,451644.0,540603.0,מַ֥יִם שָׁאַ֖ל ,Main,Q,qtl,xQt0,p3,C>L[,451661.0,540620.0,וַתְּיַבֵּ֛ב אֵ֥ם סִֽיסְרָ֖א בְּעַ֣ד הָֽאֶשְׁנָ֑ב ,Main,Q,wayq,WayX,p3,JBB[
130362,451661.0,540620.0,וַתְּיַבֵּ֛ב אֵ֥ם סִֽיסְרָ֖א בְּעַ֣ד הָֽאֶשְׁנָ֑ב ,Main,Q,wayq,WayX,p3,JBB[,451663.0,540622.0,לָבֹ֔וא ,SubAdv,Q,infc,InfC,unknown,BW>[
130367,451662.0,540621.0,מַדּ֗וּעַ בֹּשֵׁ֤שׁ רִכְבֹּו֙ ,Main,Q,qtl,xQtX,p3,BWC[,,,,,,,,,
130445,451680.0,540639.0,וַתָּ֥עָז יַד־מִדְיָ֖ן עַל־יִשְׂרָאֵ֑ל ,Main,N,wayq,WayX,p3,<ZZ[,451682.0,540641.0,אֲשֶׁ֣ר בֶּֽהָרִ֔ים ,SubMod,N,Ø,NmCl,,
130467,451683.0,540643.0,וְהָיָ֖ה ,Main,N,wqtl,WQt0,p3,HJH[,451685.0,540645.0,וְעָלָ֨ה מִדְיָ֧ן וַֽעֲמָלֵ֛ק וּבְנֵי־קֶ֖דֶם ,Main,N,wqtl,WQtX,p3,<LH[
130548,451700.0,540660.0,וַיְהִ֕י ,Main,N,wayq,MSyn,p3,HJH[,,,,,,,,,
130568,451703.0,540663.0,וַיֹּ֨אמֶר לָהֶ֜ם ,Main,N,wayq,Way0,p3,>MR[,451705.0,540665.0,אָנֹכִ֞י הֶעֱלֵ֤יתִי אֶתְכֶם֙ מִמִּצְרַ֔יִם ,Main,Q,qtl,XQtl,p1,<LH[
130573,451704.0,540664.0,כֹּה־אָמַ֥ר יְהוָ֣ה׀ אֱלֹהֵ֣י יִשְׂרָאֵ֗ל ,Main,Q,qtl,xQtX,p3,>MR[,451706.0,540666.0,וָאֹצִ֥יא אֶתְכֶ֖ם מִבֵּ֥ית עֲבָדִֽים׃ ,Main,Q,wayq,Way0,p1,JY>[
130623,451705.0,540665.0,אָנֹכִ֞י הֶעֱלֵ֤יתִי אֶתְכֶם֙ מִמִּצְרַ֔יִם ,Main,Q,qtl,XQtl,p1,<LH[,,,,,,,,,
130682,451727.0,540687.0,וְיֵ֤שׁ יְהוָה֙ עִמָּ֔נוּ ,Main,Q,Ø,NmCl,,,451729.0,540689.0,וְאַיֵּ֣ה כָֽל־נִפְלְאֹתָ֡יו ,Main,Q,Ø,NmCl,,
130690,451729.0,540689.0,וְאַיֵּ֣ה כָֽל־נִפְלְאֹתָ֡יו ,Main,Q,Ø,NmCl,,,451731.0,540691.0,לֵאמֹ֗ר ,SubAdv,Q,infc,InfC,unknown,>MR[
130699,451731.0,540691.0,לֵאמֹ֗ר ,SubAdv,Q,infc,InfC,unknown,>MR[,,,,,,,,,
