eng_TAMsimp,prose,prophetic,instruction,poetry,list
PAST PROG ~ PRES PART,-0.3,0.71,-0.21,-0.2,-0.01
FUT PERF ~ PRES,0.7,-0.29,-0.21,-0.2,-0.01
PRES PART ~ PRES PROG,0.7,-0.29,-0.21,-0.2,-0.01
PRES ~ PRES can,0.7,-0.29,-0.21,-0.2,-0.01
PRES PERF ~ PRES PROG,-0.3,-0.29,-0.21,0.8,-0.01
MOD must ~ PRES shall,-0.3,-0.29,0.79,-0.2,-0.01
HAB used to ~ MOD would,-0.3,-0.29,-0.21,0.8,-0.01
MOD may ~ MOD would,0.7,-0.29,-0.21,-0.2,-0.01
MOD is to ~ PRES PROG,0.7,-0.29,-0.21,-0.2,-0.01
MOD is to ~ MOD lest,-0.3,0.71,-0.21,-0.2,-0.01
MOD could ~ PRES PERF,-0.3,-0.29,-0.21,0.8,-0.01
MOD could ~ PAST PERF,0.7,-0.29,-0.21,-0.2,-0.01
PRES ~ PRES shall,-0.3,-0.29,0.79,-0.2,-0.01
MOD could ~ MOD shall,0.7,-0.29,-0.21,-0.2,-0.01
MOD lest ~ MOD that be,-0.3,-0.29,0.79,-0.2,-0.01
MOD let ~ MOD might,-0.3,0.71,-0.21,-0.2,-0.01
MOD let ~ MOD that,-0.3,0.71,-0.21,-0.2,-0.01
MOD let ~ VB,0.7,-0.29,-0.21,-0.2,-0.01
MOD can ~ MOD lest,0.7,-0.29,-0.21,-0.2,-0.01
MOD may ~ MOD should,-0.3,-0.29,-0.21,0.8,-0.01
MOD VB ~ TO INF,-0.3,-0.29,-0.21,0.8,-0.01
MOD VB ~ MOD shall,-0.3,0.71,-0.21,-0.2,-0.01
HAB used to ~ PRES,0.7,-0.29,-0.21,-0.2,-0.01
MOD VB ~ MOD can,-0.3,-0.29,-0.21,0.8,-0.01
JJ ~ PRES,-0.3,-0.29,-0.21,0.8,-0.01
IMPV ~ PRES PERF,-0.3,0.71,-0.21,-0.2,-0.01
MOD might ~ PRES PERF,-0.3,0.71,-0.21,-0.2,-0.01
MOD must ~ PRES PART,0.7,-0.29,-0.21,-0.2,-0.01
MOD must ~ PRES PROG,-0.3,-0.29,-0.21,0.8,-0.01
IMPV ~ MOD need not,-0.3,-0.29,0.79,-0.2,-0.01
MOD is to ~ MOD should,0.7,-0.29,-0.21,-0.2,-0.01
MOD must ~ TO INF,0.7,-0.29,-0.21,-0.2,-0.01
MOD quest must ~ MOD shall,0.7,-0.29,-0.21,-0.2,-0.01
IMPV ~ MOD,0.7,-0.29,-0.21,-0.2,-0.01
IMPV not ~ MOD must,0.7,-0.29,-0.21,-0.2,-0.01
HAB used to ~ PRES PERF,-0.3,-0.29,-0.21,0.8,-0.01
MOD lest ~ MOD must,-0.3,-0.29,0.79,-0.2,-0.01
