genre,prophetic,instruction,prose,prose,prophetic,instruction,prose,prophetic,poetry,prose,prophetic,instruction,list,instruction,instruction,prophetic,poetry,prose,poetry,instruction,list,instruction,prophetic,poetry,prophetic,prose,list,poetry,prophetic,instruction,list,instruction,prose
domain2,Q,Q,Q,Q,Q,Q,Q,Q,Q,N,?,D,N,Q,?,D,Q,D,Q,D,Q,N,D,?,N,?,Q,D,D,D,?,N,N
person,p3,p3,p3,p2,p1,p2,p1,p2,p3,p3,p3,p3,p3,p1,p3,p3,p1,p3,p2,p2,p3,p3,p1,p3,p3,p3,p2,p3,p2,p1,p3,p1,p2
eng_TAMsimp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAST ~ PRES PERF,0.21,-0.15,0.04,-0.11,-0.04,-0.07,0.1,0.02,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,0.15,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD let,0.08,-0.15,-0.03,-0.11,0.3,-0.07,0.19,-0.06,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ PRES PART,0.08,-0.15,0.14,-0.03,0.14,-0.07,0.03,0.03,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ MOD may,-0.17,-0.06,0.43,0.07,-0.11,0.02,0.03,-0.06,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD would,-0.08,-0.15,0.34,-0.02,-0.02,-0.07,0.13,-0.06,0.07,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ MOD shall,-0.17,0.05,-0.01,0.49,-0.11,-0.07,-0.06,-0.06,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ PAST,0.27,-0.04,-0.11,-0.11,-0.11,0.15,-0.06,0.05,-0.02,-0.02,-0.02,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ MOD shall,0.16,-0.04,0.11,0.11,-0.11,-0.07,0.05,-0.06,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ PRES,-0.17,0.22,0.01,0.01,-0.11,0.05,-0.06,0.07,-0.02,-0.02,-0.02,0.11,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ MOD let,-0.17,0.72,-0.11,0.01,-0.11,-0.07,-0.06,-0.06,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ MOD may,-0.17,-0.15,0.26,0.01,-0.11,-0.07,0.07,0.07,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,0.25,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ PAST,-0.17,-0.15,0.26,-0.11,0.01,-0.07,0.07,-0.06,0.1,-0.02,-0.02,-0.01,-0.01,0.12,-0.01,0.12,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ PAST,-0.03,0.42,-0.11,-0.11,-0.11,-0.07,-0.06,-0.06,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,0.28,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
